timestamp,air_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,max_wind_gust,max_wind_speed,min_air_temperature,max_air_temperature,precip_duration,precip_amount,dew_point_temperature
2020-11-01 00:00:00,7.1,,2.6,186,85,11.0,6.5,7.1,8.7,59.0,0.6,4.8
2020-11-01 01:00:00,6.5,,2.0,139,91,6.3,2.9,6.4,7.1,38.0,3.4,5.1
2020-11-01 02:00:00,5.9,,2.2,138,91,6.3,2.2,5.9,6.5,0.0,1.8,4.6
2020-11-01 03:00:00,5.5,,1.4,143,92,6.2,3.0,5.5,6.0,0.0,0.0,4.3
2020-11-01 04:00:00,5.5,,1.8,157,89,3.6,1.9,5.4,5.6,0.0,0.0,3.8
2020-11-01 05:00:00,5.5,,1.5,163,84,3.5,2.3,5.3,5.5,0.0,0.0,3.0
2020-11-01 06:00:00,5.8,,2.9,145,81,4.9,2.9,5.4,5.8,0.0,0.0,2.9
2020-11-01 07:00:00,5.5,,3.3,143,80,5.3,3.3,5.5,6.0,0.0,0.0,2.3
2020-11-01 08:00:00,6.1,,3.1,144,76,7.2,4.0,5.4,6.1,0.0,0.0,2.1
2020-11-01 09:00:00,5.3,,2.9,137,83,6.4,3.4,5.3,6.1,12.0,0.0,2.7
2020-11-01 10:00:00,5.5,,3.0,143,81,6.9,3.6,5.3,6.0,4.0,0.0,2.5
2020-11-01 11:00:00,5.8,,3.8,143,74,6.9,3.8,5.5,5.8,0.0,0.0,1.5
2020-11-01 12:00:00,5.2,,5.6,147,79,10.5,5.6,5.2,5.8,14.0,0.0,1.9
2020-11-01 13:00:00,5.2,,5.8,142,76,12.0,6.2,4.9,5.3,41.0,0.0,1.5
2020-11-01 14:00:00,5.1,,5.5,145,80,13.9,6.9,5.0,5.2,43.0,0.1,1.9
2020-11-01 15:00:00,4.7,,5.8,141,85,12.3,6.9,4.5,5.2,59.0,0.1,2.3
2020-11-01 16:00:00,5.7,,6.1,153,79,12.1,6.4,4.5,5.8,32.0,0.8,2.5
2020-11-01 17:00:00,6.8,,5.3,151,83,11.1,6.5,5.7,6.8,3.0,0.1,4.1
2020-11-01 18:00:00,6.9,,4.3,138,94,12.7,6.8,6.8,7.8,39.0,0.0,6.1
2020-11-01 19:00:00,6.1,,3.9,147,93,11.1,4.4,6.1,7.1,59.0,0.9,5.0
2020-11-01 20:00:00,5.5,,2.9,137,84,6.8,4.0,5.5,6.1,30.0,2.1,3.0
2020-11-01 21:00:00,5.2,,2.1,148,83,6.5,3.1,5.2,5.5,0.0,0.1,2.7
2020-11-01 22:00:00,4.4,,4.9,140,84,9.6,4.9,4.4,5.2,47.0,0.0,2.1
2020-11-01 23:00:00,3.4,,5.1,141,88,9.1,5.5,3.4,4.4,59.0,0.9,1.7
2020-11-02 00:00:00,3.3,,4.1,137,91,9.5,5.9,3.2,3.6,59.0,2.2,1.9
2020-11-02 01:00:00,4.6,,5.1,139,86,9.1,5.5,3.3,4.6,33.0,1.8,2.5
2020-11-02 02:00:00,7.5,,6.9,144,87,12.9,6.9,4.6,7.5,59.0,0.2,5.5
2020-11-02 03:00:00,7.7,,5.0,130,96,11.1,7.2,7.3,7.7,59.0,2.4,7.1
2020-11-02 04:00:00,9.1,,1.9,150,97,8.5,5.1,7.7,9.1,59.0,5.0,8.8
2020-11-02 05:00:00,9.4,,4.3,175,93,14.3,4.3,9.3,10.0,59.0,10.6,8.4
2020-11-02 06:00:00,6.7,,3.9,64,95,9.7,4.7,6.7,9.4,59.0,9.3,5.9
2020-11-02 07:00:00,5.9,,2.9,36,93,8.5,4.0,5.6,6.7,59.0,4.9,4.8
2020-11-02 08:00:00,5.7,,3.3,157,91,9.1,3.7,5.7,6.1,37.0,2.5,4.5
2020-11-02 09:00:00,5.7,,3.1,172,91,7.7,3.7,5.6,5.7,59.0,1.3,4.5
2020-11-02 10:00:00,5.8,,1.3,144,92,6.7,2.6,5.5,5.9,53.0,3.5,4.6
2020-11-02 11:00:00,5.9,,1.4,232,91,5.7,2.2,5.7,6.0,22.0,1.1,4.6
2020-11-02 12:00:00,5.7,,1.4,203,91,5.9,3.1,5.7,5.9,40.0,0.1,4.5
2020-11-02 13:00:00,5.6,,1.8,193,89,8.3,3.0,5.6,5.8,52.0,0.6,3.9
2020-11-02 14:00:00,5.2,,1.9,60,92,5.9,3.1,5.2,5.6,31.0,1.1,4.1
2020-11-02 15:00:00,5.1,,2.3,68,92,6.3,2.6,5.1,5.2,46.0,1.2,3.9
2020-11-02 16:00:00,4.8,,2.0,95,92,7.3,2.9,4.6,5.1,52.0,0.5,3.6
2020-11-02 17:00:00,4.6,,2.8,333,94,6.5,3.0,4.6,4.8,48.0,1.9,3.8
2020-11-02 18:00:00,3.9,,2.2,325,93,4.3,2.9,3.8,4.6,57.0,0.6,2.9
2020-11-02 19:00:00,3.5,,0.4,32,94,5.2,2.2,3.3,3.9,45.0,1.0,2.7
2020-11-02 20:00:00,3.9,,0.8,163,94,4.3,2.1,3.5,4.0,0.0,1.3,3.0
2020-11-02 21:00:00,2.8,,2.4,2,94,4.7,2.4,2.5,3.9,58.0,4.1,2.1
2020-11-02 22:00:00,2.9,,2.2,119,92,5.1,2.9,2.0,2.9,59.0,3.4,1.7
2020-11-02 23:00:00,2.7,,0.5,175,96,3.5,2.3,2.3,3.0,6.0,0.1,2.1
2020-11-03 00:00:00,3.2,,1.5,141,96,3.7,1.5,2.7,3.2,44.0,0.8,2.7
2020-11-03 01:00:00,2.0,,1.4,25,93,7.1,2.7,2.0,3.7,56.0,2.6,1.1
2020-11-03 02:00:00,2.0,,1.6,89,94,4.3,1.7,1.9,2.3,55.0,1.4,1.3
2020-11-03 03:00:00,1.7,,0.5,195,96,3.5,1.8,1.5,1.9,22.0,1.6,1.1
2020-11-03 04:00:00,2.8,,0.7,75,97,3.1,1.1,1.8,2.8,17.0,0.3,2.5
2020-11-03 05:00:00,3.3,,1.6,352,96,4.1,1.9,2.8,3.3,26.0,0.4,2.7
2020-11-03 06:00:00,3.4,,1.2,349,94,4.9,1.8,3.2,3.4,19.0,0.1,2.5
2020-11-03 07:00:00,3.5,,2.0,340,93,7.4,2.0,3.4,3.6,0.0,0.0,2.5
2020-11-03 08:00:00,3.4,,0.2,277,93,5.1,1.9,3.3,3.6,11.0,0.0,2.5
2020-11-03 09:00:00,3.3,,0.0,0,92,4.0,1.7,2.8,3.4,28.0,0.1,2.1
2020-11-03 10:00:00,3.9,,1.8,129,89,4.8,1.8,3.3,4.4,16.0,0.8,2.3
2020-11-03 11:00:00,4.3,,1.7,136,90,5.1,2.2,3.9,4.5,6.0,0.2,2.9
2020-11-03 12:00:00,4.6,,1.0,144,89,3.8,1.8,4.3,4.9,0.0,0.0,3.0
2020-11-03 13:00:00,4.4,,0.4,147,91,4.8,2.2,4.4,4.6,17.0,0.2,3.0
2020-11-03 14:00:00,2.8,,1.6,129,94,6.5,2.7,2.8,4.4,59.0,3.6,2.1
