timestamp,air_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,max_wind_gust,max_wind_speed,min_air_temperature,max_air_temperature,precip_duration,precip_amount,dew_point_temperature
2021-12-01 00:00:00,-3.6,17.0,2.5,140,65,4.7,2.6,-3.7,-3.5,0,0.0,-8.9
2021-12-01 01:00:00,-3.3,16.9,4.0,110,61,7.2,4.1,-3.6,-3.3,0,0.0,-9.8
2021-12-01 02:00:00,-3.4,17.0,5.8,112,62,8.7,6.2,-3.6,-3.3,0,0.0,-9.4
2021-12-01 03:00:00,-3.3,16.9,5.6,113,61,9.2,5.9,-3.5,-3.2,0,0.0,-9.8
2021-12-01 04:00:00,-3.5,16.9,5.3,125,63,9.6,6.2,-3.5,-3.2,0,0.0,-9.4
2021-12-01 05:00:00,-3.8,16.8,5.5,121,64,9.9,6.3,-3.8,-3.4,0,0.0,-9.8
2021-12-01 06:00:00,-3.9,16.8,5.0,114,61,10.2,6.4,-4.1,-3.7,0,0.0,-10.2
2021-12-01 07:00:00,-3.9,16.7,5.8,105,55,10.3,6.6,-4.1,-3.9,0,0.0,-11.6
2021-12-01 08:00:00,-4.0,16.5,5.4,129,53,11.4,6.5,-4.2,-3.7,0,0.0,-12.1
2021-12-01 09:00:00,-4.0,16.5,5.2,112,43,10.4,5.7,-4.2,-3.9,0,0.0,-15.0
2021-12-01 10:00:00,-4.2,16.3,3.2,130,46,9.0,5.9,-4.3,-3.9,0,0.0,-13.8
2021-12-01 11:00:00,-5.0,16.2,0.7,288,52,5.3,3.2,-5.0,-4.2,0,0.0,-13.2
2021-12-01 12:00:00,-4.5,16.2,1.2,218,47,6.5,1.6,-5.0,-4.2,0,0.0,-13.8
2021-12-01 13:00:00,-4.8,16.0,1.6,188,48,5.5,2.4,-4.9,-4.4,0,0.0,-13.8
2021-12-01 14:00:00,-6.8,16.1,1.0,194,61,3.3,1.9,-6.9,-4.7,0,0.0,-12.7
2021-12-01 15:00:00,-7.0,16.0,0.9,151,57,4.0,2.3,-7.0,-4.8,0,0.0,-13.8
2021-12-01 16:00:00,-6.6,16.0,1.8,138,57,2.9,1.8,-6.9,-6.2,0,0.0,-13.8
2021-12-01 17:00:00,-7.8,15.9,0.2,206,62,2.6,1.9,-7.8,-6.6,0,0.0,-13.8
