timestamp,air_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,max_wind_gust,max_wind_speed,min_air_temperature,max_air_temperature,precip_duration,precip_amount,dew_point_temperature
2019-12-01 00:00:00,-4.0,2.5,0.4,181.0,84,1.1,0.4,-4.4,-3.8,0,0.0,-6.3
2019-12-01 01:00:00,-3.8,2.6,0.0,0.0,87,1.7,0.9,-4.0,-3.3,0,0.0,-5.7
2019-12-01 02:00:00,-3.4,2.4,0.0,0.0,92,0.0,0.0,-3.8,-3.3,35,0.0,-4.4
2019-12-01 03:00:00,-3.2,2.4,0.6,346.0,95,4.2,1.8,-3.4,-3.0,15,0.0,-3.8
2019-12-01 04:00:00,-3.4,2.4,0.2,133.0,94,1.2,0.8,-3.4,-3.2,0,0.0,-4.1
2019-12-01 05:00:00,-2.7,2.4,0.3,157.0,96,1.4,0.3,-3.4,-2.7,40,0.0,-3.3
2019-12-01 06:00:00,-2.7,2.5,1.6,127.0,96,2.4,1.6,-2.7,-2.6,46,0.1,-3.3
2019-12-01 07:00:00,-2.3,3.5,1.8,123.0,96,2.9,2.0,-2.7,-2.3,59,0.5,-2.7
2019-12-01 08:00:00,-1.9,4.6,1.7,113.0,97,3.3,2.1,-2.3,-1.9,59,0.6,-2.4
2019-12-01 09:00:00,-1.7,5.7,0.2,297.0,97,3.1,1.8,-1.9,-1.7,59,0.8,-2.2
2019-12-01 10:00:00,-0.8,5.9,1.5,354.0,97,4.3,1.9,-1.6,-0.8,50,0.2,-1.2
2019-12-01 11:00:00,-0.4,5.9,2.0,338.0,95,4.1,2.2,-0.8,-0.4,15,0.0,-1.2
2019-12-01 12:00:00,-0.1,5.9,0.0,0.0,95,4.7,2.0,-0.4,-0.1,26,0.2,-0.7
2019-12-01 13:00:00,-0.2,6.2,0.6,69.0,96,3.0,0.8,-0.2,0.0,38,0.4,-0.7
2019-12-01 14:00:00,-0.2,6.5,1.3,314.0,94,6.6,2.0,-0.2,0.0,51,0.2,-1.2
2019-12-01 15:00:00,-0.5,7.3,2.3,316.0,95,4.7,2.4,-0.5,-0.2,32,0.4,-1.2
2019-12-01 16:00:00,-0.6,7.5,3.2,320.0,97,5.5,3.7,-0.7,-0.5,51,0.1,-1.2
2019-12-01 17:00:00,-0.9,7.6,2.4,324.0,97,5.8,3.4,-0.9,-0.6,23,0.1,-1.4
2019-12-01 18:00:00,-1.3,7.5,2.8,317.0,96,4.3,3.2,-1.4,-0.9,0,0.0,-1.7
2019-12-01 19:00:00,-1.3,7.8,2.0,319.0,97,4.8,3.2,-1.3,-1.2,45,0.2,-1.7
2019-12-01 20:00:00,-1.5,7.8,2.2,328.0,95,4.0,2.4,-1.5,-1.3,44,0.0,-2.2
2019-12-01 21:00:00,-1.3,7.8,2.6,311.0,92,4.4,3.0,-1.6,-1.3,20,0.0,-2.2
2019-12-01 22:00:00,-1.7,7.7,1.3,327.0,95,4.2,2.5,-1.7,-1.4,41,0.0,-2.4
2019-12-01 23:00:00,-1.8,7.8,3.1,339.0,97,5.0,3.1,-1.8,-1.6,59,0.2,-2.2
2019-12-02 00:00:00,-2.0,7.9,3.7,320.0,94,5.5,3.7,-2.1,-1.8,48,0.0,-2.7
2019-12-02 01:00:00,-2.1,7.9,3.5,328.0,89,8.1,4.6,-2.1,-2.0,0,0.0,-3.8
2019-12-02 02:00:00,-2.2,7.8,1.3,320.0,88,4.7,3.4,-2.2,-2.0,0,0.0,-3.8
2019-12-02 03:00:00,-2.7,7.8,4.8,323.0,92,6.8,4.8,-3.1,-2.2,0,0.0,-3.8
