timestamp,air_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,max_wind_gust,max_wind_speed,min_air_temperature,max_air_temperature,precip_duration,precip_amount,dew_point_temperature
2019-01-30 00:00:00,-2.4,23.8,6.4,128,73,11.3,7.6,-2.7,-2.3,0,0.0,-6.7
2019-01-30 01:00:00,-2.0,23.8,6.6,127,72,12.6,7.3,-2.7,-1.8,0,0.0,-6.3
2019-01-30 02:00:00,-1.5,23.6,5.1,145,71,10.6,6.5,-2.0,-1.5,0,0.0,-6.0
2019-01-30 03:00:00,-1.4,23.6,5.6,148,73,10.4,6.2,-1.7,-1.3,0,0.0,-5.7
2019-01-30 04:00:00,-1.6,23.6,4.9,150,74,11.2,6.8,-1.6,-1.2,0,0.0,-5.7
2019-01-30 05:00:00,-1.6,23.6,5.6,147,74,10.9,6.0,-1.7,-1.3,0,0.0,-5.7
2019-01-30 06:00:00,-1.6,23.6,4.3,157,72,11.0,6.1,-1.7,-1.4,0,0.0,-6.0
2019-01-30 07:00:00,-1.8,23.6,5.0,140,74,12.2,6.7,-1.8,-1.4,0,0.0,-5.7
2019-01-30 08:00:00,-1.8,23.7,6.7,139,70,11.9,6.7,-2.0,-1.8,0,0.0,-6.3
2019-01-30 09:00:00,-1.8,23.6,5.8,138,70,12.9,7.6,-2.0,-1.8,0,0.0,-6.3
2019-01-30 10:00:00,-1.7,23.6,6.1,133,71,10.2,6.2,-2.0,-1.7,0,0.0,-6.3
2019-01-30 11:00:00,-1.8,23.5,5.1,149,72,9.2,6.1,-1.9,-1.7,0,0.0,-6.0
2019-01-30 12:00:00,-1.9,23.5,4.3,144,70,10.4,5.8,-2.0,-1.8,0,0.0,-6.7
2019-01-30 13:00:00,-1.8,23.3,3.9,136,67,8.5,4.3,-1.9,-1.7,0,0.0,-7.0
2019-01-30 14:00:00,-2.3,23.4,3.0,144,66,9.0,4.3,-2.3,-1.8,0,0.0,-7.8
2019-01-30 15:00:00,-3.1,23.6,4.9,147,66,13.4,7.0,-3.1,-2.3,0,0.0,-8.5
2019-01-30 16:00:00,-3.2,23.6,4.9,129,67,9.9,6.2,-3.2,-3.0,0,0.0,-8.5
2019-01-30 17:00:00,-3.0,23.5,4.3,140,67,8.2,5.1,-3.2,-2.9,0,0.0,-8.1
2019-01-30 18:00:00,-2.9,23.4,5.4,140,67,9.8,6.3,-3.1,-2.8,0,0.0,-8.1
2019-01-30 19:00:00,-3.1,23.5,5.4,142,68,11.7,6.5,-3.1,-2.8,0,0.0,-8.1
2019-01-30 20:00:00,-3.0,23.4,5.5,145,68,12.8,6.7,-3.0,-2.8,0,0.0,-8.1
2019-01-30 21:00:00,-2.9,23.4,5.6,148,68,10.3,6.1,-3.1,-2.8,0,0.0,-8.1
2019-01-30 22:00:00,-3.0,23.3,7.1,140,69,12.8,7.3,-3.0,-2.7,0,0.0,-7.8
