timestamp,air_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,max_wind_gust,max_wind_speed,min_air_temperature,max_air_temperature,precip_duration,precip_amount,dew_point_temperature
2022-04-30 00:00:00,1.9,46.7,0.6,242,69,2.8,2.0,1.7,2.1,0,0,-3.3
2022-04-30 01:00:00,0.6,46.8,0.4,294,73,2.7,1.5,0.6,1.9,0,0,-3.6
2022-04-30 02:00:00,1.5,46.6,0.2,257,66,2.2,1.4,0.2,1.8,0,0,-4.1
2022-04-30 03:00:00,0.7,46.7,0.5,344,74,1.6,0.9,0.4,1.9,0,0,-3.6
2022-04-30 04:00:00,0.9,46.8,0.4,307,74,2.0,1.3,0.7,1.9,0,0,-3.3
2022-04-30 05:00:00,1.4,46.5,0.9,185,71,1.7,0.9,0.7,1.4,0,0,-3.3
2022-04-30 06:00:00,3.9,46.3,0.3,7,60,2.1,1.2,1.4,5.3,0,0,-3.0
2022-04-30 07:00:00,3.2,46.6,2.1,322,67,4.3,3.0,2.0,3.8,0,0,-2.2
2022-04-30 08:00:00,4.2,46.4,1.4,17,56,5.1,2.5,3.0,5.1,0,0,-3.8
2022-04-30 09:00:00,5.1,46.0,1.4,31,50,5.1,3.1,3.9,5.1,0,0,-4.4
2022-04-30 10:00:00,6.2,45.8,1.0,103,50,2.8,1.4,5.2,8.1,0,0,-3.3
2022-04-30 11:00:00,7.0,45.3,0.7,4,44,3.6,2.0,5.5,7.3,0,0,-4.4
2022-04-30 12:00:00,6.0,45.0,2.4,329,46,4.6,2.4,5.4,7.3,0,0,-4.7
2022-04-30 13:00:00,6.3,44.8,1.6,20,43,5.3,3.0,5.4,7.1,0,0,-5.4
2022-04-30 14:00:00,6.0,44.5,2.2,48,47,4.9,2.6,5.8,6.9,0,0,-4.4
2022-04-30 15:00:00,5.9,44.3,1.9,349,47,4.7,2.4,5.7,6.3,0,0,-4.4
2022-04-30 16:00:00,5.5,44.4,2.2,357,49,4.5,2.4,5.5,5.9,0,0,-4.4
2022-04-30 17:00:00,4.8,44.3,2.8,354,50,5.8,3.4,4.8,5.5,0,0,-4.7
2022-04-30 18:00:00,4.2,44.5,2.8,335,53,5.3,3.2,4.2,4.9,0,0,-4.4
2022-04-30 19:00:00,3.4,44.3,1.6,339,57,4.8,2.8,3.4,4.3,0,0,-4.4
2022-04-30 20:00:00,2.5,44.4,0.4,229,61,2.0,1.5,2.4,3.4,0,0,-4.1
2022-04-30 21:00:00,2.1,44.3,0.4,212,62,1.3,0.6,2.0,2.8,0,0,-4.4
2022-04-30 22:00:00,1.3,44.5,0.7,204,66,1.2,0.7,1.1,2.1,0,0,-4.4
2022-04-30 23:00:00,0.7,44.5,0.1,291,68,1.5,0.7,0.1,1.2,0,0,-4.4
