timestamp,air_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,max_wind_gust,max_wind_speed,min_air_temperature,max_air_temperature,precip_duration,precip_amount,dew_point_temperature
2023-01-30 00:00:00,-0.3,26.5,5.9,328.0,89,15.5,7.3,-0.3,0.1,30,0.5,-1.9
2023-01-30 01:00:00,-0.2,26.1,6.0,333.0,81,16.5,9.7,-0.4,0.0,32,1.5,-3.0
2023-01-30 02:00:00,-1.0,27.0,6.9,332.0,95,14.8,6.9,-1.0,-0.2,55,0.7,-1.7
2023-01-30 03:00:00,-0.8,27.5,9.1,325.0,84,14.2,9.2,-1.1,-0.7,60,0.6,-3.0
2023-01-30 04:00:00,-0.5,26.8,5.6,328.0,87,13.4,9.0,-0.9,-0.5,34,0.2,-2.4
2023-01-30 05:00:00,-0.8,26.8,6.6,327.0,87,14.6,7.8,-1.1,-0.4,55,0.1,-2.7
2023-01-30 06:00:00,-1.9,27.6,6.0,326.0,97,12.4,8.2,-1.9,-0.4,60,0.3,-2.4
2023-01-30 07:00:00,-1.7,27.6,4.9,332.0,95,7.7,6.1,-2.0,-1.7,60,0.3,-2.4
2023-01-30 08:00:00,-1.6,27.7,2.7,344.0,96,6.9,4.9,-1.9,-1.5,60,0.5,-2.2
2023-01-30 09:00:00,-1.4,27.5,6.0,329.0,97,10.3,6.4,-1.6,-1.2,60,0.1,-1.9
2023-01-30 10:00:00,-1.7,27.1,7.0,329.0,96,10.9,7.1,-1.7,-1.0,36,0.1,-2.2
2023-01-30 11:00:00,-1.4,26.8,8.0,328.0,84,14.5,9.5,-1.8,-1.4,60,0.7,-3.8
2023-01-30 12:00:00,-2.2,26.4,8.2,327.0,90,17.4,10.1,-2.3,-1.3,60,0.5,-3.5
2023-01-30 13:00:00,-2.4,26.4,8.4,327.0,86,13.6,9.2,-2.6,-1.9,51,0.3,-4.4
2023-01-30 14:00:00,-3.1,26.5,8.1,331.0,94,13.3,9.1,-3.2,-2.6,60,0.1,-3.8
2023-01-30 15:00:00,-2.6,26.2,7.5,336.0,83,14.4,8.8,-3.1,-2.4,60,0.0,-5.0
2023-01-30 16:00:00,-2.7,26.2,8.3,326.0,79,13.2,8.8,-2.9,-2.5,60,0.1,-5.7
2023-01-30 17:00:00,-2.8,26.2,7.0,330.0,88,14.1,8.7,-2.8,-2.5,48,0.5,-4.4
2023-01-30 18:00:00,-2.9,26.2,7.3,332.0,86,12.3,7.5,-3.0,-2.6,55,0.1,-5.0
2023-01-30 19:00:00,-2.8,26.2,6.1,332.0,80,13.5,7.3,-3.1,-2.8,31,0.0,-5.7
2023-01-30 20:00:00,-3.0,26.2,4.3,323.0,85,9.0,6.3,-3.0,-2.6,46,0.1,-5.0
2023-01-30 21:00:00,-3.3,26.2,6.3,327.0,81,9.4,6.5,-3.3,-2.9,2,0.0,-6.0
2023-01-30 22:00:00,-3.1,26.1,3.9,318.0,84,9.9,6.6,-3.4,-3.1,0,0.1,-5.3
2023-01-30 23:00:00,-3.4,26.1,1.9,336.0,84,6.6,4.8,-3.5,-3.0,0,0.0,-5.7
2023-01-31 00:00:00,-3.4,25.9,1.2,291.0,83,5.1,2.3,-3.4,-3.2,0,0.0,-5.7
2023-01-31 01:00:00,-3.4,26.0,0.7,247.0,88,3.5,2.1,-3.6,-3.3,0,0.0,-5.0
2023-01-31 02:00:00,-3.7,25.9,0.9,32.0,95,3.7,1.2,-3.7,-3.4,0,0.0,-4.4
2023-01-31 03:00:00,-3.7,25.8,0.8,166.0,93,3.1,1.1,-3.7,-3.6,0,0.0,-4.7
2023-01-31 04:00:00,-3.7,26.0,1.4,129.0,96,2.7,1.7,-3.7,-3.6,10,0.1,-4.4
2023-01-31 05:00:00,-3.6,26.6,1.2,152.0,95,2.3,1.8,-3.7,-3.6,60,0.5,-4.1
2023-01-31 06:00:00,-3.5,27.6,2.8,152.0,95,4.5,2.8,-3.6,-3.4,60,1.0,-4.1
2023-01-31 07:00:00,-3.1,27.8,2.6,160.0,95,4.7,2.9,-3.5,-3.1,22,0.2,-3.5
2023-01-31 08:00:00,-2.3,28.1,2.3,164.0,95,4.6,3.1,-3.0,-2.3,60,0.3,-3.0
2023-01-31 09:00:00,-1.3,28.6,2.1,148.0,97,4.4,2.8,-2.3,-1.3,52,1.0,-1.7
2023-01-31 10:00:00,-0.4,29.7,2.0,26.0,96,6.1,2.1,-1.3,0.0,60,1.5,-0.9
2023-01-31 11:00:00,-0.1,30.2,3.1,349.0,96,8.2,3.8,-0.6,0.1,60,2.4,-0.5
2023-01-31 12:00:00,-0.5,31.3,3.2,331.0,91,11.4,5.4,-0.5,-0.1,60,0.5,-1.7
2023-01-31 13:00:00,-0.4,31.5,1.6,61.0,93,7.8,4.4,-0.5,-0.3,60,0.5,-1.4
2023-01-31 14:00:00,-1.2,32.9,7.2,333.0,94,15.2,7.2,-1.2,-0.3,60,1.4,-1.9
2023-01-31 15:00:00,-0.7,32.9,4.0,334.0,95,13.5,8.8,-1.3,-0.6,60,1.0,-1.4
2023-01-31 16:00:00,-0.6,33.3,6.8,328.0,88,16.5,7.0,-1.2,-0.5,60,1.5,-2.4
2023-01-31 17:00:00,-0.3,33.1,5.1,327.0,87,11.4,6.7,-0.7,-0.3,60,0.2,-2.2
2023-01-31 18:00:00,-0.3,33.3,3.9,318.0,90,11.6,6.0,-0.7,0.0,37,2.5,-1.7
2023-01-31 19:00:00,-0.1,33.5,5.8,328.0,92,13.6,5.8,-0.4,-0.1,36,0.6,-1.2
2023-01-31 20:00:00,-0.2,33.1,2.9,326.0,92,10.6,6.3,-0.2,-0.1,39,0.1,-1.4
2023-01-31 21:00:00,-0.6,34.7,4.5,330.0,95,11.1,6.1,-1.0,-0.3,60,0.5,-1.4
2023-01-31 22:00:00,0.1,34.6,6.1,335.0,92,11.3,6.8,-0.6,0.1,60,0.8,-0.9
2023-01-31 23:00:00,0.2,34.8,6.0,325.0,89,12.6,6.8,-0.2,0.2,26,1.2,-1.4
2023-02-01 00:00:00,0.1,35.2,5.5,329.0,87,12.4,6.8,-0.3,0.2,50,0.8,-1.7
2023-02-01 01:00:00,-0.2,35.3,5.0,326.0,90,13.3,7.4,-0.3,0.3,55,1.5,-1.7
