Dato;Starttid;Sluttid;Rode;Enhet;Varighet;Distanse (km)
29. des. 2023;10:20:05;18:52:40;Hyttegrenda;8810;7:05:27;13.8
29. des. 2023;07:00:11;19:59:19;Hyttegrenda;9389;11:15:47;51.4
31. des. 2023;09:32:23;12:07:24;Hyttegrenda;8810;2:30:04;12.9
1. jan. 2024;06:27:54;07:09:41;Hyttegrenda;8810;0:38:45;3.9
2. jan. 2024;16:41:34;16:47:35;Hyttegrenda;9389;0:06:01;5.4
3. jan. 2024;09:05:06;10:51:00;Hyttegrenda;8810;1:38:54;11.5
5. jan. 2024;09:06:36;12:35:09;Hyttegrenda;9389;2:58:35;13.4
10. jan. 2024;15:13:44;15:46:13;Hyttegrenda;9389;0:31:42;10.3
13. jan. 2024;04:46:50;07:04:12;Hyttegrenda;8810;2:12:21;14.4
17. jan. 2024;09:05:15;12:32:34;Hyttegrenda;9389;3:19:18;16.7
19. jan. 2024;16:59:24;23:59:57;Hyttegrenda;8810;5:42:44;15.6
19. jan. 2024;07:02:04;22:42:38;Hyttegrenda;9389;9:01:14;33.6
20. jan. 2024;00:00:19;06:14:26;Hyttegrenda;8810;0:37:58;6.1
21. jan. 2024;07:50:01;12:13:59;Hyttegrenda;8810;4:13:08;13.9
22. jan. 2024;18:22:20;18:41:27;Hyttegrenda;9389;0:17:52;6.3
23. jan. 2024;08:57:45;10:23:11;Hyttegrenda;8810;1:11:48;6.5
25. jan. 2024;14:03:27;14:30:01;Hyttegrenda;9389;0:25:38;7.5
26. jan. 2024;08:54:17;16:52:44;Hyttegrenda;8810;5:13:17;36.5
28. jan. 2024;15:32:54;16:24:26;Hyttegrenda;9389;0:50:10;12.7
1. feb. 2024;04:40:36;20:15:58;Hyttegrenda;8810;8:36:19;42
2. feb. 2024;10:29:25;12:54:32;Hyttegrenda;8810;1:51:34;10.4
2. feb. 2024;06:12:04;13:05:32;Hyttegrenda;9389;6:12:38;25.7
4. feb. 2024;08:42:06;12:11:30;Hyttegrenda;9389;3:20:49;15.7
7. feb. 2024;07:22:25;14:01:22;Hyttegrenda;8810;6:08:02;21.9
8. feb. 2024;09:58:02;17:09:28;Hyttegrenda;8810;6:06:48;14.6
9. feb. 2024;07:32:20;09:25:08;Hyttegrenda;8810;1:42:56;10.7
10. feb. 2024;06:51:11;15:11:57;Hyttegrenda;8810;3:49:17;17.6
10. feb. 2024;09:05:58;15:11:22;Hyttegrenda;9389;4:54:18;18
11. feb. 2024;11:25:32;18:38:04;Hyttegrenda;9389;6:11:53;24.2
12. feb. 2024;08:41:38;15:28:49;Hyttegrenda;9389;4:46:39;23.1
13. feb. 2024;17:19:06;20:10:29;Hyttegrenda;8810;2:39:46;13.8
14. feb. 2024;14:27:54;20:34:27;Hyttegrenda;9389;5:30:41;20.6
15. feb. 2024;08:48:11;12:12:34;Hyttegrenda;9389;2:27:26;9.9
20. feb. 2024;12:19:31;15:38:29;Hyttegrenda;8810;2:48:39;14.9
20. feb. 2024;14:18:37;16:55:11;Hyttegrenda;9389;2:18:10;13.8
22. feb. 2024;17:27:32;18:54:18;Hyttegrenda;9389;1:07:38;7.2
23. feb. 2024;13:55:17;17:53:31;Hyttegrenda;8810;3:24:52;21
24. feb. 2024;15:33:06;17:21:36;Hyttegrenda;8810;1:16:24;9.4
24. feb. 2024;14:02:05;15:08:31;Hyttegrenda;9389;0:57:36;8
28. feb. 2024;05:11:14;07:30:30;Hyttegrenda;9389;2:10:31;14.7
