referenceTime,air_temperature,wind_speed,wind_from_direction,surface_snow_thickness,sum(precipitation_amount PT1H),relative_humidity,surface_temperature,dew_point_temperature,snow_change_1h,snow_change_3h,snow_change_6h,fresh_snow_1h,snow_transport_1h,fresh_snow_6h,snow_loss_6h,snow_dynamics_factor,consec_wind_ge5,consec_wind_ge6,consec_wind_ge7,wind_persistent_3h,high_risk_sector,wind_sector,temp_above_zero_last_24h,continuous_frost_12h,loose_snow_gate,precip_mm_h,last_6h_precip,risk_level,factors,risk_slippery,factors_slippery
2024-01-01 03:30:00+00:00,-3.5,,,38,,,-5.0,,0.0,0.0,0.0,0,0,0,0,1.0,2,2,2,0,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 03:40:00+00:00,-3.9,,,38,,,-5.3,,0.0,0.0,0.0,0,0,0,0,1.0,2,2,2,0,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 03:50:00+00:00,-4.0,,,38,,,-5.3,,0.0,0.0,0.0,0,0,0,0,1.0,2,2,2,0,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 04:00:00+00:00,-4.0,13.9,184.0,38,0.0,69.0,-5.3,-8.9,0.0,0.0,0.0,0,0,0,0,1.0,3,3,3,1,0,S,0.0,1.0,1,0.0,0.0,high,"['Vind 13.9 m/s (terskel: 7.0)', 'Temperatur -4.0°C', 'Snødybde 38 cm', 'Høy vindstyrke (≥9.0 m/s)', 'Persistant vind (3h ≥7 m/s)']",low,['Ingen risikofaktorer']
2024-01-01 04:10:00+00:00,-4.1,,,38,,,-5.4,,0.0,0.0,0.0,0,0,0,0,1.0,3,3,3,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 04:20:00+00:00,-4.1,,,38,,,-5.4,,0.0,0.0,0.0,0,0,0,0,1.0,3,3,3,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 04:30:00+00:00,-4.1,,,38,,,-5.3,,0.0,0.0,0.0,0,0,0,0,1.0,3,3,3,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 04:40:00+00:00,-4.1,,,38,,,-5.4,,0.0,0.0,0.0,0,0,0,0,1.0,3,3,3,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 04:50:00+00:00,-4.1,,,38,,,-5.3,,0.0,0.0,0.0,0,0,0,0,1.0,3,3,3,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 05:00:00+00:00,-4.0,11.2,171.0,38,0.0,69.0,-5.3,-8.9,0.0,0.0,0.0,0,0,0,0,1.0,4,4,4,1,0,S,0.0,1.0,1,0.0,0.0,high,"['Vind 11.2 m/s (terskel: 7.0)', 'Temperatur -4.0°C', 'Snødybde 38 cm', 'Høy vindstyrke (≥9.0 m/s)', 'Persistant vind (4h ≥7 m/s)']",low,['Ingen risikofaktorer']
2024-01-01 05:10:00+00:00,-3.9,,,38,,,-5.3,,0.0,0.0,0.0,0,0,0,0,1.0,4,4,4,1,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
