maintenance_date,start_datetime,end_datetime,duration_hours,distance_km,maintenance_type,equipment,weather_analysis,temp_min,temp_max,temp_mean,around_freezing,precip_total,precip_max_hourly,rain_on_snow,snow_depth_cm,snow_present,wind_max,strong_wind,weather_scenarios,snowdrift_risk,season_period,likely_salt_quality,likely_maintenance_purpose,weekly_snow_context,is_friday_clearing
29. des. 2022,2022-12-29 05:50:32,2022-12-29 07:21:41,1.5033333333333334,9.8,light_treatment,8810.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-28 18:00:00+0000', tz='UTC'), 'end': Timestamp('2022-12-29 17:50:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-2.2), 'max': np.float64(3.4), 'mean': np.float64(0.5583333333333333), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(15.600000000000001), 'max_hourly': np.float64(4.4), 'hours_with_precip': np.int64(7), 'rain_on_snow': False}, 'wind': {'max': np.float64(11.6), 'mean': np.float64(5.9875), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(576.3888888888889), 'min_depth_cm': np.int64(400), 'max_depth_cm': np.int64(900), 'snow_present': np.True_, 'snow_change': np.int64(5)}, 'weather_scenarios': []}",-2.2,3.4,0.5583333333333333,True,15.600000000000001,4.4,False,576.3888888888889,True,11.6,True,,unknown,limited_salt_period,begrenset,akutt_slush_eller_tining,,False
30. des. 2022,2022-12-30 12:07:58,2022-12-30 16:50:47,3.9472222222222224,16.4,medium_treatment,8810.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-30 00:10:00+0000', tz='UTC'), 'end': Timestamp('2022-12-31 00:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-1.2), 'max': np.float64(3.3), 'mean': np.float64(0.5958333333333333), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(19.599999999999998), 'max_hourly': np.float64(5.0), 'hours_with_precip': np.int64(14), 'rain_on_snow': False}, 'wind': {'max': np.float64(8.7), 'mean': np.float64(3.1750000000000003), 'strong_wind': np.True_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(1800.6944444444443), 'min_depth_cm': np.int64(1300), 'max_depth_cm': np.int64(2100), 'snow_present': np.True_, 'snow_change': np.int64(8)}, 'weather_scenarios': []}",-1.2,3.3,0.5958333333333333,True,19.599999999999998,5.0,False,1800.6944444444443,True,8.7,True,,unknown,limited_salt_period,begrenset,tunbrøyting_ukentlig_snø,36.2mm i 4 dager,True
30. des. 2022,2022-12-30 09:19:50,2022-12-30 16:56:24,6.110555555555555,28.0,heavy_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-29 21:20:00+0000', tz='UTC'), 'end': Timestamp('2022-12-30 21:10:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-1.2), 'max': np.float64(2.3), 'mean': np.float64(0.2916666666666667), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(13.399999999999999), 'max_hourly': np.float64(3.3), 'hours_with_precip': np.int64(14), 'rain_on_snow': False}, 'wind': {'max': np.float64(8.7), 'mean': np.float64(3.0666666666666664), 'strong_wind': np.True_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(1753.4722222222222), 'min_depth_cm': np.int64(800), 'max_depth_cm': np.int64(2100), 'snow_present': np.True_, 'snow_change': np.int64(13)}, 'weather_scenarios': []}",-1.2,2.3,0.2916666666666667,True,13.399999999999999,3.3,False,1753.4722222222222,True,8.7,True,,unknown,limited_salt_period,begrenset,tunbrøyting_ukentlig_snø,32.1mm i 4 dager,True
1. jan. 2023,2023-01-01 09:56:45,2023-01-01 10:51:06,0.8963888888888889,10.4,light_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-31 22:00:00+0000', tz='UTC'), 'end': Timestamp('2023-01-01 21:50:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-7.0), 'max': np.float64(-2.3), 'mean': np.float64(-4.195833333333333), 'around_freezing': np.False_}, 'precipitation': {'total': np.float64(0.1), 'max_hourly': np.float64(0.1), 'hours_with_precip': np.int64(0), 'rain_on_snow': False}, 'wind': {'max': np.float64(9.5), 'mean': np.float64(4.341666666666667), 'strong_wind': np.True_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(2109.722222222222), 'min_depth_cm': np.int64(1600), 'max_depth_cm': np.int64(2500), 'snow_present': np.True_, 'snow_change': np.int64(9)}, 'weather_scenarios': []}",-7.0,-2.3,-4.195833333333333,False,0.1,0.1,False,2109.722222222222,True,9.5,True,,unknown,limited_salt_period,begrenset,standard_vinterdrift,,False
4. jan. 2023,2023-01-04 07:15:06,2023-01-04 23:59:58,4.231944444444444,22.6,medium_treatment,8810.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2023-01-03 19:20:00+0000', tz='UTC'), 'end': Timestamp('2023-01-04 19:10:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-3.2), 'max': np.float64(0.4), 'mean': np.float64(-1.3499999999999999), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(0.7000000000000001), 'max_hourly': np.float64(0.2), 'hours_with_precip': np.int64(1), 'rain_on_snow': False}, 'wind': {'max': np.float64(16.3), 'mean': np.float64(11.2125), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(1831.9444444444443), 'min_depth_cm': np.int64(1500), 'max_depth_cm': np.int64(2300), 'snow_present': np.True_, 'snow_change': np.int64(8)}, 'weather_scenarios': []}",-3.2,0.4,-1.3499999999999999,True,0.7000000000000001,0.2,False,1831.9444444444443,True,16.3,True,,unknown,limited_salt_period,begrenset,standard_vinterdrift,,False
5. jan. 2023,2023-01-05 00:01:05,2023-01-05 00:07:06,0.11888888888888889,1.7,light_treatment,8810.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2023-01-04 12:10:00+0000', tz='UTC'), 'end': Timestamp('2023-01-05 12:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-4.3), 'max': np.float64(-1.8), 'mean': np.float64(-3.1625), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(0.1), 'max_hourly': np.float64(0.1), 'hours_with_precip': np.int64(0), 'rain_on_snow': False}, 'wind': {'max': np.float64(15.5), 'mean': np.float64(6.683333333333333), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(1528.4722222222222), 'min_depth_cm': np.int64(1500), 'max_depth_cm': np.int64(1600), 'snow_present': np.True_, 'snow_change': np.int64(1)}, 'weather_scenarios': []}",-4.3,-1.8,-3.1625,True,0.1,0.1,False,1528.4722222222222,True,15.5,True,,unknown,limited_salt_period,begrenset,standard_vinterdrift,,False
6. jan. 2023,2023-01-06 05:22:56,2023-01-06 14:39:45,7.255833333333333,29.5,heavy_treatment,8810.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2023-01-05 17:30:00+0000', tz='UTC'), 'end': Timestamp('2023-01-06 17:20:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-3.3), 'max': np.float64(-1.2), 'mean': np.float64(-2.091666666666667), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(5.400000000000001), 'max_hourly': np.float64(2.2), 'hours_with_precip': np.int64(6), 'rain_on_snow': False}, 'wind': {'max': np.float64(12.6), 'mean': np.float64(9.05), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(1501.388888888889), 'min_depth_cm': np.int64(1500), 'max_depth_cm': np.int64(1600), 'snow_present': np.True_, 'snow_change': np.int64(1)}, 'weather_scenarios': []}",-3.3,-1.2,-2.091666666666667,True,5.400000000000001,2.2,False,1501.388888888889,True,12.6,True,,unknown,limited_salt_period,begrenset,tunbrøyting_ukentlig_snø,30.3mm i 8 dager,True
6. jan. 2023,2023-01-06 08:36:02,2023-01-06 14:41:34,5.292777777777777,16.8,heavy_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2023-01-05 20:40:00+0000', tz='UTC'), 'end': Timestamp('2023-01-06 20:30:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-3.3), 'max': np.float64(0.0), 'mean': np.float64(-1.8), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(13.6), 'max_hourly': np.float64(2.9), 'hours_with_precip': np.int64(8), 'rain_on_snow': False}, 'wind': {'max': np.float64(12.6), 'mean': np.float64(8.758333333333333), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(1543.0555555555554), 'min_depth_cm': np.int64(1500), 'max_depth_cm': np.int64(2000), 'snow_present': np.True_, 'snow_change': np.int64(5)}, 'weather_scenarios': []}",-3.3,0.0,-1.8,True,13.6,2.9,False,1543.0555555555554,True,12.6,True,,unknown,limited_salt_period,begrenset,tunbrøyting_ukentlig_snø,38.7mm i 8 dager,True
7. jan. 2023,2023-01-07 09:34:30,2023-01-07 12:17:05,2.4488888888888893,13.0,medium_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2023-01-06 21:40:00+0000', tz='UTC'), 'end': Timestamp('2023-01-07 21:30:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(0.2), 'max': np.float64(4.9), 'mean': np.float64(3.0541666666666667), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(18.7), 'max_hourly': np.float64(6.6), 'hours_with_precip': np.int64(7), 'rain_on_snow': False}, 'wind': {'max': np.float64(7.6), 'mean': np.float64(4.2625), 'strong_wind': np.True_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(2002.0833333333333), 'min_depth_cm': np.int64(1600), 'max_depth_cm': np.int64(2400), 'snow_present': np.True_, 'snow_change': np.int64(8)}, 'weather_scenarios': []}",0.2,4.9,3.0541666666666667,True,18.7,6.6,False,2002.0833333333333,True,7.6,True,,unknown,limited_salt_period,begrenset,akutt_slush_eller_tining,,False
8. jan. 2023,2023-01-08 07:40:55,2023-01-08 10:08:24,1.0661111111111112,16.2,medium_treatment,8810.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2023-01-07 19:50:00+0000', tz='UTC'), 'end': Timestamp('2023-01-08 19:40:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(0.9), 'max': np.float64(4.4), 'mean': np.float64(3.25), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(9.6), 'max_hourly': np.float64(4.2), 'hours_with_precip': np.int64(3), 'rain_on_snow': False}, 'wind': {'max': np.float64(6.8), 'mean': np.float64(4.625), 'strong_wind': np.True_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(1454.1666666666665), 'min_depth_cm': np.int64(1400), 'max_depth_cm': np.int64(1700), 'snow_present': np.True_, 'snow_change': np.int64(3)}, 'weather_scenarios': []}",0.9,4.4,3.25,True,9.6,4.2,False,1454.1666666666665,True,6.8,True,,unknown,limited_salt_period,begrenset,akutt_slush_eller_tining,,False
