dato,klokkeslett,vindstyrke,temperatur,snødybde,risikoscore
2021-02-17,04:00,11.4,-3.6,13.7,0.74
2021-02-17,05:00,10.8,-3.5,13.6,0.74
2021-02-17,06:00,10.8,-3.6,13.7,0.74
2021-02-17,07:00,12.0,-3.9,13.7,0.74
2021-02-17,09:00,11.6,-4.3,13.7,0.74
2021-02-17,10:00,10.5,-4.1,13.6,0.74
2021-02-17,11:00,10.4,-3.7,13.7,0.74
2021-02-17,12:00,10.5,-3.3,13.5,0.74
2021-02-17,13:00,10.8,-2.9,13.5,0.74
2021-02-17,14:00,9.0,-2.8,13.6,0.74
2021-02-17,15:00,10.4,-2.6,13.6,0.74
2021-03-21,06:00,11.9,-1.2,20.9,0.74
2021-03-21,07:00,11.5,-1.4,20.7,0.74
2021-03-21,08:00,10.7,-1.0,20.6,0.74
2022-03-11,19:00,14.7,-0.7,108.5,0.74
2022-03-11,20:00,10.6,-0.5,108.3,0.74
2022-03-11,21:00,15.4,-1.5,108.3,0.74
2022-03-11,22:00,13.5,-2.3,108.2,0.74
2022-03-11,23:00,12.4,-1.1,108.1,0.74
2022-03-12,00:00,15.2,-2.3,108.0,0.74
2022-03-12,01:00,15.1,-2.3,108.2,0.74
2022-03-12,02:00,15.4,-2.2,108.2,0.74
2022-03-12,03:00,15.0,-1.9,108.2,0.74
2022-03-12,04:00,15.6,-2.2,107.9,0.74
2022-03-12,05:00,14.1,-2.6,108.0,0.74
2022-03-12,06:00,15.4,-2.9,107.8,0.74
2022-03-12,07:00,15.2,-2.2,107.9,0.74
2022-03-12,08:00,15.5,-1.9,107.8,0.74
2022-03-12,09:00,15.6,-1.2,108.0,0.74
2022-03-12,10:00,14.8,-0.9,107.8,0.74
2022-03-12,11:00,15.2,-0.7,107.5,0.74
2023-12-27,17:00,9.4,-4.2,35.1,0.92
2023-12-27,18:00,8.1,-4.4,29.8,0.92
2023-12-27,19:00,12.7,-4.8,29.3,0.74
2023-12-31,22:00,10.3,-3.5,38.2,0.74
2023-12-31,23:00,13.2,-2.9,38.4,0.74
2024-01-01,00:00,10.6,-3.1,38.2,0.74
2024-01-01,02:00,10.4,-4.1,38.2,0.74
2024-01-01,03:00,10.3,-3.3,38.0,0.74
2024-01-01,04:00,13.9,-4.0,37.7,0.74
2024-01-01,05:00,11.2,-4.0,37.7,0.74
2024-01-01,06:00,12.3,-4.4,37.7,0.74
2024-01-01,07:00,13.8,-4.4,37.9,0.74
2024-01-01,08:00,12.7,-4.3,38.0,0.74
2024-01-01,09:00,10.9,-4.5,38.0,0.74
2024-01-01,10:00,11.1,-4.5,37.7,0.74
2024-01-01,11:00,10.9,-4.3,37.9,0.74
2024-01-01,12:00,6.6,-4.1,37.9,0.74
2024-01-01,13:00,9.7,-4.0,37.9,0.74
2024-01-01,14:00,11.2,-4.3,37.7,0.74
2024-01-01,15:00,8.1,-4.2,37.6,0.82
2024-01-01,16:00,6.7,-4.1,37.6,0.74
2024-01-01,17:00,6.9,-4.4,37.7,0.74
2024-01-01,18:00,8.0,-4.6,37.7,0.82
2024-01-01,19:00,9.6,-5.0,37.6,0.74
2024-01-01,20:00,10.4,-5.0,37.7,0.74
2024-01-01,21:00,10.5,-4.7,37.7,0.74
2024-01-01,22:00,12.4,-5.4,37.4,0.74
2024-01-01,23:00,13.0,-5.2,37.6,0.74
2024-01-02,00:00,9.8,-5.6,37.2,0.74
2024-01-02,01:00,9.8,-5.8,37.1,0.74
2024-01-02,02:00,10.6,-6.4,37.1,0.74
2024-01-02,04:00,12.8,-6.6,37.1,0.74
2024-01-02,05:00,12.3,-6.6,36.9,0.74
2024-01-02,06:00,11.8,-6.7,36.7,0.74
2024-01-02,07:00,13.5,-7.0,36.8,0.74
2024-01-02,08:00,9.5,-7.4,36.6,0.74
2024-01-02,09:00,8.4,-7.6,36.7,0.74
2024-01-02,10:00,11.6,-7.8,36.9,0.74
2024-01-02,11:00,13.8,-8.0,36.9,0.74
2024-01-02,12:00,15.1,-8.5,36.8,0.74
2024-01-02,13:00,15.4,-8.7,36.4,0.74
2024-01-02,14:00,12.8,-8.7,36.4,0.74
2024-01-02,15:00,11.1,-8.5,36.5,0.74
2024-01-02,16:00,9.6,-8.7,36.6,0.74
2024-01-02,17:00,10.6,-8.6,36.4,0.74
2024-01-02,18:00,9.2,-9.2,36.5,0.74
2024-01-02,19:00,11.4,-9.4,36.4,0.74
2024-01-02,20:00,10.4,-9.4,36.4,0.74
2024-01-02,21:00,8.2,-9.3,36.4,0.74
2024-01-02,22:00,7.5,-8.8,36.4,0.74
2024-01-02,23:00,11.3,-9.3,36.4,0.74
2024-01-03,00:00,9.9,-8.7,36.1,0.74
2024-01-03,01:00,10.9,-9.0,36.2,0.82
2024-01-03,02:00,11.5,-9.2,36.1,0.74
2024-01-03,03:00,10.5,-9.3,35.8,0.74
2024-01-03,04:00,13.2,-9.3,34.5,0.88
2024-01-03,05:00,16.2,-9.2,34.7,0.74
2024-01-03,06:00,14.7,-9.3,34.6,0.74
2024-01-03,07:00,11.2,-9.3,34.4,0.74
2024-01-03,08:00,11.4,-9.7,34.1,0.74
2024-01-03,09:00,12.7,-9.6,34.4,0.74
2024-01-03,10:00,12.5,-9.1,34.2,0.74
2024-01-03,11:00,10.1,-9.7,34.3,0.74
2024-01-03,12:00,11.4,-10.1,34.1,0.74
2024-01-03,13:00,9.3,-10.5,34.0,0.74
2024-01-03,14:00,8.9,-10.9,33.8,0.74
2024-01-03,15:00,10.6,-10.9,31.7,0.92
2024-01-03,16:00,8.7,-10.5,31.5,0.74
2024-01-03,17:00,9.9,-10.1,31.8,0.74
2024-01-03,18:00,9.7,-9.8,31.5,0.74
2024-01-03,19:00,11.8,-10.3,31.7,0.74
2024-01-03,20:00,10.1,-10.1,31.5,0.74
2024-01-03,21:00,11.7,-10.4,31.6,0.74
2024-01-03,22:00,10.9,-10.6,31.5,0.74
2024-01-03,23:00,10.3,-10.6,31.6,0.74
2024-01-04,00:00,9.7,-10.7,31.5,0.74
2024-02-09,07:00,8.6,-9.2,75.2,0.84
2024-02-09,08:00,10.8,-6.6,70.4,0.84
2024-02-09,09:00,13.6,-6.8,66.1,0.92
2024-02-09,10:00,11.7,-9.8,63.1,0.92
2024-02-09,11:00,7.8,-9.2,63.1,0.74
2024-02-09,12:00,9.3,-8.5,63.0,0.74
2024-02-09,13:00,8.3,-8.4,62.9,0.74
2024-02-09,14:00,7.8,-8.8,63.6,0.74
2024-02-10,01:00,7.1,-8.3,62.9,0.74
2024-02-10,02:00,8.8,-8.2,62.8,0.74
2024-02-10,03:00,10.5,-7.8,62.9,0.74
2024-02-10,04:00,9.3,-7.9,65.1,0.92
2024-02-10,05:00,9.5,-8.1,62.7,0.92
2024-02-10,06:00,11.6,-8.0,63.6,0.8
2024-02-10,09:00,12.7,-8.6,62.8,0.74
2024-02-10,10:00,10.7,-8.0,62.7,0.74
2024-02-10,11:00,11.4,-7.7,62.7,0.74
2024-02-10,12:00,12.7,-7.4,62.5,0.74
