referenceTime,surface_snow_thickness,surface_temperature,air_temperature,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,wind_speed,wind_from_direction,time
2023-12-20 04:20:00+00:00,30,-1.5,,,,,,,2023-12-20 04:20:00+00:00
2023-12-20 04:30:00+00:00,30,-1.5,,,,,,,2023-12-20 04:30:00+00:00
2023-12-20 04:40:00+00:00,31,-1.5,,,,,,,2023-12-20 04:40:00+00:00
2023-12-20 04:50:00+00:00,31,-1.7,,,,,,,2023-12-20 04:50:00+00:00
2023-12-20 05:00:00+00:00,31,-1.8,-1.5,0.3,97.0,-1.9,,,2023-12-20 05:00:00+00:00
2023-12-20 05:10:00+00:00,30,-2.3,,,,,,,2023-12-20 05:10:00+00:00
2023-12-20 05:20:00+00:00,30,-2.3,,,,,,,2023-12-20 05:20:00+00:00
2023-12-20 05:30:00+00:00,30,-3.1,,,,,,,2023-12-20 05:30:00+00:00
2023-12-20 05:40:00+00:00,30,-2.5,,,,,,,2023-12-20 05:40:00+00:00
2023-12-20 05:50:00+00:00,30,-2.3,,,,,,,2023-12-20 05:50:00+00:00
2023-12-20 06:00:00+00:00,30,-2.2,-1.5,0.1,91.0,-2.7,,,2023-12-20 06:00:00+00:00
2023-12-20 06:10:00+00:00,30,-3.2,,,,,,,2023-12-20 06:10:00+00:00
2023-12-20 06:20:00+00:00,30,-3.0,,,,,,,2023-12-20 06:20:00+00:00
2023-12-20 06:30:00+00:00,30,-4.8,,,,,,,2023-12-20 06:30:00+00:00
2023-12-20 06:40:00+00:00,30,-4.1,,,,,,,2023-12-20 06:40:00+00:00
2023-12-20 06:50:00+00:00,30,-3.3,,,,,,,2023-12-20 06:50:00+00:00
2023-12-20 07:00:00+00:00,30,-2.4,-1.9,0.0,93.0,-3.0,,,2023-12-20 07:00:00+00:00
2023-12-20 07:10:00+00:00,30,-2.0,,,,,,,2023-12-20 07:10:00+00:00
2023-12-20 07:20:00+00:00,30,-2.5,,,,,,,2023-12-20 07:20:00+00:00
2023-12-20 07:30:00+00:00,30,-2.5,,,,,,,2023-12-20 07:30:00+00:00
2023-12-20 07:40:00+00:00,30,-2.5,,,,,,,2023-12-20 07:40:00+00:00
2023-12-20 07:50:00+00:00,30,-2.3,,,,,,,2023-12-20 07:50:00+00:00
2023-12-20 08:00:00+00:00,30,-2.4,-2.2,0.2,94.0,-3.0,,,2023-12-20 08:00:00+00:00
2023-12-20 08:10:00+00:00,31,-2.4,,,,,,,2023-12-20 08:10:00+00:00
2023-12-20 08:20:00+00:00,31,-2.4,,,,,,,2023-12-20 08:20:00+00:00
2023-12-20 08:30:00+00:00,32,-2.4,,,,,,,2023-12-20 08:30:00+00:00
2023-12-20 08:40:00+00:00,32,-2.4,,,,,,,2023-12-20 08:40:00+00:00
2023-12-20 08:50:00+00:00,33,-2.2,,,,,,,2023-12-20 08:50:00+00:00
2023-12-20 09:00:00+00:00,34,-2.3,-2.2,1.1,97.0,-2.7,1.1,319.0,2023-12-20 09:00:00+00:00
2023-12-20 09:10:00+00:00,34,-3.4,,,,,,,2023-12-20 09:10:00+00:00
2023-12-20 09:20:00+00:00,34,-2.9,,,,,,,2023-12-20 09:20:00+00:00
2023-12-20 09:30:00+00:00,34,-2.5,,,,,,,2023-12-20 09:30:00+00:00
2023-12-20 09:40:00+00:00,34,-2.4,,,,,,,2023-12-20 09:40:00+00:00
2023-12-20 09:50:00+00:00,34,-2.4,,,,,,,2023-12-20 09:50:00+00:00
2023-12-20 10:00:00+00:00,34,-3.1,-2.3,0.4,96.0,-2.7,0.0,0.0,2023-12-20 10:00:00+00:00
2023-12-20 10:10:00+00:00,34,-2.7,,,,,,,2023-12-20 10:10:00+00:00
2023-12-20 10:20:00+00:00,34,-2.6,,,,,,,2023-12-20 10:20:00+00:00
2023-12-20 10:30:00+00:00,34,-2.5,,,,,,,2023-12-20 10:30:00+00:00
2023-12-20 10:40:00+00:00,34,-2.6,,,,,,,2023-12-20 10:40:00+00:00
2023-12-20 10:50:00+00:00,34,-2.8,,,,,,,2023-12-20 10:50:00+00:00
2023-12-20 11:00:00+00:00,34,-2.6,-2.3,0.1,95.0,-3.0,0.0,0.0,2023-12-20 11:00:00+00:00
2023-12-20 11:10:00+00:00,34,-2.5,,,,,,,2023-12-20 11:10:00+00:00
2023-12-20 11:20:00+00:00,34,-3.2,,,,,,,2023-12-20 11:20:00+00:00
2023-12-20 11:30:00+00:00,34,-2.3,,,,,,,2023-12-20 11:30:00+00:00
2023-12-20 11:40:00+00:00,34,-2.3,,,,,,,2023-12-20 11:40:00+00:00
2023-12-20 11:50:00+00:00,34,-2.3,,,,,,,2023-12-20 11:50:00+00:00
2023-12-20 12:00:00+00:00,34,-2.3,-2.1,0.3,96.0,-2.7,0.0,0.0,2023-12-20 12:00:00+00:00
2023-12-20 12:10:00+00:00,35,-2.2,,,,,,,2023-12-20 12:10:00+00:00
2023-12-20 12:20:00+00:00,36,-2.2,,,,,,,2023-12-20 12:20:00+00:00
2023-12-20 12:30:00+00:00,37,-2.2,,,,,,,2023-12-20 12:30:00+00:00
2023-12-20 12:40:00+00:00,37,-2.3,,,,,,,2023-12-20 12:40:00+00:00
2023-12-20 12:50:00+00:00,37,-2.4,,,,,,,2023-12-20 12:50:00+00:00
2023-12-20 13:00:00+00:00,37,-2.4,-2.4,0.8,96.0,-3.0,0.0,0.0,2023-12-20 13:00:00+00:00
2023-12-20 13:10:00+00:00,37,-2.4,,,,,,,2023-12-20 13:10:00+00:00
2023-12-20 13:20:00+00:00,37,-2.4,,,,,,,2023-12-20 13:20:00+00:00
2023-12-20 13:30:00+00:00,37,-2.9,,,,,,,2023-12-20 13:30:00+00:00
2023-12-20 13:40:00+00:00,37,-2.6,,,,,,,2023-12-20 13:40:00+00:00
2023-12-20 13:50:00+00:00,37,-3.1,,,,,,,2023-12-20 13:50:00+00:00
2023-12-20 14:00:00+00:00,37,-3.1,-2.3,0.1,96.0,-2.7,0.0,0.0,2023-12-20 14:00:00+00:00
2023-12-20 14:10:00+00:00,37,-2.4,,,,,,,2023-12-20 14:10:00+00:00
2023-12-20 14:20:00+00:00,37,-2.4,,,,,,,2023-12-20 14:20:00+00:00
2023-12-20 14:30:00+00:00,38,-2.4,,,,,,,2023-12-20 14:30:00+00:00
2023-12-20 14:40:00+00:00,39,-2.4,,,,,,,2023-12-20 14:40:00+00:00
2023-12-20 14:50:00+00:00,40,-2.6,,,,,,,2023-12-20 14:50:00+00:00
2023-12-20 15:00:00+00:00,40,-3.2,-2.3,0.6,96.0,-2.7,3.2,344.0,2023-12-20 15:00:00+00:00
2023-12-20 15:10:00+00:00,40,-2.6,,,,,,,2023-12-20 15:10:00+00:00
2023-12-20 15:20:00+00:00,40,-2.4,,,,,,,2023-12-20 15:20:00+00:00
2023-12-20 15:30:00+00:00,40,-2.3,,,,,,,2023-12-20 15:30:00+00:00
2023-12-20 15:40:00+00:00,39,-2.2,,,,,,,2023-12-20 15:40:00+00:00
2023-12-20 15:50:00+00:00,39,-2.3,,,,,,,2023-12-20 15:50:00+00:00
2023-12-20 16:00:00+00:00,40,-2.3,-2.3,0.3,96.0,-2.7,2.7,320.0,2023-12-20 16:00:00+00:00
2023-12-20 16:10:00+00:00,40,-2.5,,,,,,,2023-12-20 16:10:00+00:00
2023-12-20 16:20:00+00:00,40,-2.4,,,,,,,2023-12-20 16:20:00+00:00
2023-12-20 16:30:00+00:00,40,-2.1,,,,,,,2023-12-20 16:30:00+00:00
2023-12-20 16:40:00+00:00,40,-2.3,,,,,,,2023-12-20 16:40:00+00:00
2023-12-20 16:50:00+00:00,40,-2.2,,,,,,,2023-12-20 16:50:00+00:00
2023-12-20 17:00:00+00:00,40,-2.0,-1.7,0.2,96.0,-2.2,1.8,321.0,2023-12-20 17:00:00+00:00
2023-12-20 17:10:00+00:00,40,-1.9,,,,,,,2023-12-20 17:10:00+00:00
2023-12-20 17:20:00+00:00,40,-1.9,,,,,,,2023-12-20 17:20:00+00:00
2023-12-20 17:30:00+00:00,40,-2.1,,,,,,,2023-12-20 17:30:00+00:00
2023-12-20 17:40:00+00:00,40,-2.1,,,,,,,2023-12-20 17:40:00+00:00
2023-12-20 17:50:00+00:00,40,-2.0,,,,,,,2023-12-20 17:50:00+00:00
2023-12-20 18:00:00+00:00,40,-2.0,-1.8,0.1,96.0,-2.2,1.4,8.0,2023-12-20 18:00:00+00:00
2023-12-20 18:10:00+00:00,40,-2.0,,,,,,,2023-12-20 18:10:00+00:00
2023-12-20 18:20:00+00:00,40,-1.9,,,,,,,2023-12-20 18:20:00+00:00
2023-12-20 18:30:00+00:00,40,-2.0,,,,,,,2023-12-20 18:30:00+00:00
2023-12-20 18:40:00+00:00,40,-2.0,,,,,,,2023-12-20 18:40:00+00:00
2023-12-20 18:50:00+00:00,40,-2.0,,,,,,,2023-12-20 18:50:00+00:00
2023-12-20 19:00:00+00:00,40,-2.0,-1.7,0.3,95.0,-2.4,3.8,326.0,2023-12-20 19:00:00+00:00
2023-12-20 19:10:00+00:00,40,-2.0,,,,,,,2023-12-20 19:10:00+00:00
2023-12-20 19:20:00+00:00,40,-1.9,,,,,,,2023-12-20 19:20:00+00:00
2023-12-20 19:30:00+00:00,41,-2.0,,,,,,,2023-12-20 19:30:00+00:00
2023-12-20 19:40:00+00:00,41,-2.2,,,,,,,2023-12-20 19:40:00+00:00
2023-12-20 19:50:00+00:00,41,-2.1,,,,,,,2023-12-20 19:50:00+00:00
2023-12-20 20:00:00+00:00,41,-2.1,-1.9,0.3,96.0,-2.4,2.3,319.0,2023-12-20 20:00:00+00:00
2023-12-20 20:10:00+00:00,41,-2.1,,,,,,,2023-12-20 20:10:00+00:00
2023-12-20 20:20:00+00:00,41,-2.2,,,,,,,2023-12-20 20:20:00+00:00
2023-12-20 20:30:00+00:00,41,-2.3,,,,,,,2023-12-20 20:30:00+00:00
2023-12-20 20:40:00+00:00,41,-2.3,,,,,,,2023-12-20 20:40:00+00:00
2023-12-20 20:50:00+00:00,41,-2.2,,,,,,,2023-12-20 20:50:00+00:00
2023-12-20 21:00:00+00:00,41,-2.7,-1.9,0.1,94.0,-2.7,1.6,278.0,2023-12-20 21:00:00+00:00
2023-12-20 21:10:00+00:00,41,-2.7,,,,,,,2023-12-20 21:10:00+00:00
2023-12-20 21:20:00+00:00,41,-3.4,,,,,,,2023-12-20 21:20:00+00:00
2023-12-20 21:30:00+00:00,41,-5.0,,,,,,,2023-12-20 21:30:00+00:00
2023-12-20 21:40:00+00:00,41,-6.1,,,,,,,2023-12-20 21:40:00+00:00
2023-12-20 21:50:00+00:00,41,-3.7,,,,,,,2023-12-20 21:50:00+00:00
2023-12-20 22:00:00+00:00,41,-3.6,-2.4,0.0,95.0,-3.3,0.7,13.0,2023-12-20 22:00:00+00:00
2023-12-20 22:10:00+00:00,41,-4.0,,,,,,,2023-12-20 22:10:00+00:00
2023-12-20 22:20:00+00:00,40,-4.2,,,,,,,2023-12-20 22:20:00+00:00
2023-12-20 22:30:00+00:00,40,-3.4,,,,,,,2023-12-20 22:30:00+00:00
2023-12-20 22:40:00+00:00,40,-3.3,,,,,,,2023-12-20 22:40:00+00:00
2023-12-20 22:50:00+00:00,40,-2.8,,,,,,,2023-12-20 22:50:00+00:00
2023-12-20 23:00:00+00:00,40,-3.0,-2.6,0.0,97.0,-3.0,1.4,141.0,2023-12-20 23:00:00+00:00
2023-12-20 23:10:00+00:00,40,-2.6,,,,,,,2023-12-20 23:10:00+00:00
2023-12-20 23:20:00+00:00,40,-2.5,,,,,,,2023-12-20 23:20:00+00:00
2023-12-20 23:30:00+00:00,40,-2.5,,,,,,,2023-12-20 23:30:00+00:00
2023-12-20 23:40:00+00:00,40,-2.5,,,,,,,2023-12-20 23:40:00+00:00
