referenceTime,air_temperature,wind_speed,wind_from_direction,surface_snow_thickness,sum(precipitation_amount PT1H),relative_humidity,surface_temperature,dew_point_temperature,time
2023-12-07 23:00:00+00:00,-5.0,9.1,172.0,9,0.0,74.0,-7.7,-8.9,2023-12-07 23:00:00+00:00
2023-12-07 23:10:00+00:00,,,,8,,,-7.8,,2023-12-07 23:10:00+00:00
2023-12-07 23:20:00+00:00,,,,8,,,-7.5,,2023-12-07 23:20:00+00:00
2023-12-07 23:30:00+00:00,,,,9,,,-7.3,,2023-12-07 23:30:00+00:00
2023-12-07 23:40:00+00:00,,,,9,,,-7.4,,2023-12-07 23:40:00+00:00
2023-12-07 23:50:00+00:00,,,,8,,,-7.7,,2023-12-07 23:50:00+00:00
2023-12-08 00:00:00+00:00,-5.2,8.9,153.0,8,0.0,76.0,-7.6,-8.5,2023-12-08 00:00:00+00:00
2023-12-08 00:10:00+00:00,,,,8,,,-7.2,,2023-12-08 00:10:00+00:00
2023-12-08 00:20:00+00:00,,,,8,,,-7.5,,2023-12-08 00:20:00+00:00
2023-12-08 00:30:00+00:00,,,,8,,,-7.2,,2023-12-08 00:30:00+00:00
2023-12-08 00:40:00+00:00,,,,8,,,-7.5,,2023-12-08 00:40:00+00:00
2023-12-08 00:50:00+00:00,,,,8,,,-7.3,,2023-12-08 00:50:00+00:00
2023-12-08 01:00:00+00:00,-5.1,9.7,170.0,9,0.0,75.0,-7.4,-8.5,2023-12-08 01:00:00+00:00
2023-12-08 01:10:00+00:00,,,,8,,,-7.3,,2023-12-08 01:10:00+00:00
2023-12-08 01:20:00+00:00,,,,8,,,-7.3,,2023-12-08 01:20:00+00:00
2023-12-08 01:30:00+00:00,,,,8,,,-7.4,,2023-12-08 01:30:00+00:00
2023-12-08 01:40:00+00:00,,,,8,,,-7.7,,2023-12-08 01:40:00+00:00
2023-12-08 01:50:00+00:00,,,,8,,,-7.2,,2023-12-08 01:50:00+00:00
2023-12-08 02:00:00+00:00,-5.2,10.1,162.0,8,0.0,73.0,-7.3,-8.9,2023-12-08 02:00:00+00:00
2023-12-08 02:10:00+00:00,,,,9,,,-7.4,,2023-12-08 02:10:00+00:00
2023-12-08 02:20:00+00:00,,,,9,,,-7.2,,2023-12-08 02:20:00+00:00
2023-12-08 02:30:00+00:00,,,,8,,,-7.5,,2023-12-08 02:30:00+00:00
2023-12-08 02:40:00+00:00,,,,8,,,-7.5,,2023-12-08 02:40:00+00:00
2023-12-08 02:50:00+00:00,,,,8,,,-7.1,,2023-12-08 02:50:00+00:00
2023-12-08 03:00:00+00:00,-5.3,12.2,163.0,8,0.0,71.0,-7.2,-9.8,2023-12-08 03:00:00+00:00
2023-12-08 03:10:00+00:00,,,,9,,,-6.9,,2023-12-08 03:10:00+00:00
2023-12-08 03:20:00+00:00,,,,9,,,-7.0,,2023-12-08 03:20:00+00:00
2023-12-08 03:30:00+00:00,,,,8,,,-7.3,,2023-12-08 03:30:00+00:00
2023-12-08 03:40:00+00:00,,,,9,,,-7.3,,2023-12-08 03:40:00+00:00
2023-12-08 03:50:00+00:00,,,,8,,,-7.3,,2023-12-08 03:50:00+00:00
2023-12-08 04:00:00+00:00,-5.3,11.1,160.0,8,0.0,68.0,-7.4,-10.2,2023-12-08 04:00:00+00:00
2023-12-08 04:10:00+00:00,,,,8,,,-7.4,,2023-12-08 04:10:00+00:00
2023-12-08 04:20:00+00:00,,,,8,,,-7.2,,2023-12-08 04:20:00+00:00
2023-12-08 04:30:00+00:00,,,,8,,,-7.0,,2023-12-08 04:30:00+00:00
2023-12-08 04:40:00+00:00,,,,8,,,-7.1,,2023-12-08 04:40:00+00:00
2023-12-08 04:50:00+00:00,,,,8,,,-7.0,,2023-12-08 04:50:00+00:00
2023-12-08 05:00:00+00:00,-5.2,12.0,162.0,8,0.0,68.0,-7.0,-9.8,2023-12-08 05:00:00+00:00
2023-12-08 05:10:00+00:00,,,,8,,,-7.1,,2023-12-08 05:10:00+00:00
2023-12-08 05:20:00+00:00,,,,8,,,-6.9,,2023-12-08 05:20:00+00:00
2023-12-08 05:30:00+00:00,,,,8,,,-7.0,,2023-12-08 05:30:00+00:00
2023-12-08 05:40:00+00:00,,,,8,,,-7.1,,2023-12-08 05:40:00+00:00
2023-12-08 05:50:00+00:00,,,,8,,,-7.0,,2023-12-08 05:50:00+00:00
2023-12-08 06:00:00+00:00,-5.0,10.2,163.0,8,0.0,66.0,-7.0,-10.2,2023-12-08 06:00:00+00:00
2023-12-08 06:10:00+00:00,,,,7,,,-7.0,,2023-12-08 06:10:00+00:00
2023-12-08 06:20:00+00:00,,,,8,,,-7.0,,2023-12-08 06:20:00+00:00
2023-12-08 06:30:00+00:00,,,,8,,,-6.9,,2023-12-08 06:30:00+00:00
2023-12-08 06:40:00+00:00,,,,7,,,-6.9,,2023-12-08 06:40:00+00:00
2023-12-08 06:50:00+00:00,,,,7,,,-6.7,,2023-12-08 06:50:00+00:00
2023-12-08 07:00:00+00:00,-4.8,11.0,168.0,7,0.0,68.0,-6.7,-9.8,2023-12-08 07:00:00+00:00
2023-12-08 07:10:00+00:00,,,,7,,,-6.8,,2023-12-08 07:10:00+00:00
2023-12-08 07:20:00+00:00,,,,7,,,-6.7,,2023-12-08 07:20:00+00:00
2023-12-08 07:30:00+00:00,,,,7,,,-6.7,,2023-12-08 07:30:00+00:00
2023-12-08 07:40:00+00:00,,,,7,,,-6.8,,2023-12-08 07:40:00+00:00
2023-12-08 07:50:00+00:00,,,,7,,,-6.8,,2023-12-08 07:50:00+00:00
2023-12-08 08:00:00+00:00,-5.0,9.2,170.0,7,0.0,70.0,-7.0,-9.8,2023-12-08 08:00:00+00:00
2023-12-08 08:10:00+00:00,,,,7,,,-6.9,,2023-12-08 08:10:00+00:00
2023-12-08 08:20:00+00:00,,,,7,,,-6.7,,2023-12-08 08:20:00+00:00
2023-12-08 08:30:00+00:00,,,,7,,,-6.6,,2023-12-08 08:30:00+00:00
2023-12-08 08:40:00+00:00,,,,7,,,-6.5,,2023-12-08 08:40:00+00:00
2023-12-08 08:50:00+00:00,,,,7,,,-6.3,,2023-12-08 08:50:00+00:00
2023-12-08 09:00:00+00:00,-4.7,11.2,185.0,7,0.0,71.0,-6.1,-8.9,2023-12-08 09:00:00+00:00
2023-12-08 09:10:00+00:00,,,,7,,,-6.0,,2023-12-08 09:10:00+00:00
2023-12-08 09:20:00+00:00,,,,7,,,-5.8,,2023-12-08 09:20:00+00:00
2023-12-08 09:30:00+00:00,,,,7,,,-5.7,,2023-12-08 09:30:00+00:00
2023-12-08 09:40:00+00:00,,,,7,,,-5.6,,2023-12-08 09:40:00+00:00
2023-12-08 09:50:00+00:00,,,,7,,,-5.6,,2023-12-08 09:50:00+00:00
2023-12-08 10:00:00+00:00,-4.3,10.9,191.0,7,0.0,70.0,-5.6,-8.9,2023-12-08 10:00:00+00:00
2023-12-08 10:10:00+00:00,,,,7,,,-5.6,,2023-12-08 10:10:00+00:00
2023-12-08 10:20:00+00:00,,,,7,,,-5.6,,2023-12-08 10:20:00+00:00
2023-12-08 10:30:00+00:00,,,,7,,,-5.5,,2023-12-08 10:30:00+00:00
2023-12-08 10:40:00+00:00,,,,7,,,-5.4,,2023-12-08 10:40:00+00:00
2023-12-08 10:50:00+00:00,,,,7,,,-5.4,,2023-12-08 10:50:00+00:00
2023-12-08 11:00:00+00:00,-4.0,9.8,177.0,7,0.0,68.0,-5.4,-8.9,2023-12-08 11:00:00+00:00
