referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2023-03-08 01:10:00+00:00,55,-19.9,,,,,,,2023-03-08 01:10:00+00:00
2023-03-08 01:20:00+00:00,55,-20.0,,,,,,,2023-03-08 01:20:00+00:00
2023-03-08 01:30:00+00:00,55,-20.6,,,,,,,2023-03-08 01:30:00+00:00
2023-03-08 01:40:00+00:00,55,-19.6,,,,,,,2023-03-08 01:40:00+00:00
2023-03-08 01:50:00+00:00,55,-19.9,,,,,,,2023-03-08 01:50:00+00:00
2023-03-08 02:00:00+00:00,55,-20.0,-11.9,0.7,206.0,0.0,42.0,-21.4,2023-03-08 02:00:00+00:00
2023-03-08 02:10:00+00:00,55,-20.3,,,,,,,2023-03-08 02:10:00+00:00
2023-03-08 02:20:00+00:00,55,-20.1,,,,,,,2023-03-08 02:20:00+00:00
2023-03-08 02:30:00+00:00,55,-20.2,,,,,,,2023-03-08 02:30:00+00:00
2023-03-08 02:40:00+00:00,55,-20.0,,,,,,,2023-03-08 02:40:00+00:00
2023-03-08 02:50:00+00:00,55,-19.1,,,,,,,2023-03-08 02:50:00+00:00
2023-03-08 03:00:00+00:00,55,-17.4,-10.5,2.2,199.0,0.0,34.0,-22.4,2023-03-08 03:00:00+00:00
2023-03-08 03:10:00+00:00,55,-16.7,,,,,,,2023-03-08 03:10:00+00:00
2023-03-08 03:20:00+00:00,55,-17.0,,,,,,,2023-03-08 03:20:00+00:00
2023-03-08 03:30:00+00:00,55,-17.6,,,,,,,2023-03-08 03:30:00+00:00
2023-03-08 03:40:00+00:00,55,-18.2,,,,,,,2023-03-08 03:40:00+00:00
2023-03-08 03:50:00+00:00,55,-18.2,,,,,,,2023-03-08 03:50:00+00:00
2023-03-08 04:00:00+00:00,55,-18.0,-10.0,2.0,205.0,0.0,31.0,-23.6,2023-03-08 04:00:00+00:00
2023-03-08 04:10:00+00:00,55,-18.6,,,,,,,2023-03-08 04:10:00+00:00
2023-03-08 04:20:00+00:00,55,-18.8,,,,,,,2023-03-08 04:20:00+00:00
2023-03-08 04:30:00+00:00,55,-19.3,,,,,,,2023-03-08 04:30:00+00:00
2023-03-08 04:40:00+00:00,55,-19.9,,,,,,,2023-03-08 04:40:00+00:00
2023-03-08 04:50:00+00:00,55,-19.5,,,,,,,2023-03-08 04:50:00+00:00
2023-03-08 05:00:00+00:00,55,-19.5,-10.5,0.9,187.0,0.0,31.0,-23.6,2023-03-08 05:00:00+00:00
2023-03-08 05:10:00+00:00,55,-19.9,,,,,,,2023-03-08 05:10:00+00:00
2023-03-08 05:20:00+00:00,55,-20.2,,,,,,,2023-03-08 05:20:00+00:00
2023-03-08 05:30:00+00:00,55,-20.3,,,,,,,2023-03-08 05:30:00+00:00
2023-03-08 05:40:00+00:00,55,-20.3,,,,,,,2023-03-08 05:40:00+00:00
2023-03-08 05:50:00+00:00,55,-19.8,,,,,,,2023-03-08 05:50:00+00:00
2023-03-08 06:00:00+00:00,55,-19.6,-10.1,1.5,179.0,0.0,28.0,-24.9,2023-03-08 06:00:00+00:00
2023-03-08 06:10:00+00:00,55,-19.6,,,,,,,2023-03-08 06:10:00+00:00
2023-03-08 06:20:00+00:00,55,-18.6,,,,,,,2023-03-08 06:20:00+00:00
2023-03-08 06:30:00+00:00,55,-18.7,,,,,,,2023-03-08 06:30:00+00:00
2023-03-08 06:40:00+00:00,55,-18.0,,,,,,,2023-03-08 06:40:00+00:00
2023-03-08 06:50:00+00:00,55,-16.2,,,,,,,2023-03-08 06:50:00+00:00
2023-03-08 07:00:00+00:00,55,-14.9,-9.3,1.3,175.0,0.0,32.0,-22.4,2023-03-08 07:00:00+00:00
2023-03-08 07:10:00+00:00,55,-13.5,,,,,,,2023-03-08 07:10:00+00:00
2023-03-08 07:20:00+00:00,55,-13.5,,,,,,,2023-03-08 07:20:00+00:00
2023-03-08 07:30:00+00:00,55,-13.8,,,,,,,2023-03-08 07:30:00+00:00
2023-03-08 07:40:00+00:00,55,-14.1,,,,,,,2023-03-08 07:40:00+00:00
2023-03-08 07:50:00+00:00,55,-12.2,,,,,,,2023-03-08 07:50:00+00:00
2023-03-08 08:00:00+00:00,55,-11.6,-7.4,1.4,169.0,0.0,38.0,-19.4,2023-03-08 08:00:00+00:00
2023-03-08 08:10:00+00:00,55,-11.5,,,,,,,2023-03-08 08:10:00+00:00
2023-03-08 08:20:00+00:00,55,-13.1,,,,,,,2023-03-08 08:20:00+00:00
2023-03-08 08:30:00+00:00,55,-12.1,,,,,,,2023-03-08 08:30:00+00:00
2023-03-08 08:40:00+00:00,55,-11.0,,,,,,,2023-03-08 08:40:00+00:00
2023-03-08 08:50:00+00:00,55,-8.7,,,,,,,2023-03-08 08:50:00+00:00
2023-03-08 09:00:00+00:00,55,-8.4,-5.7,1.4,169.0,0.0,36.0,-18.6,2023-03-08 09:00:00+00:00
2023-03-08 09:10:00+00:00,55,-8.2,,,,,,,2023-03-08 09:10:00+00:00
2023-03-08 09:20:00+00:00,55,-7.1,,,,,,,2023-03-08 09:20:00+00:00
2023-03-08 09:30:00+00:00,55,-7.5,,,,,,,2023-03-08 09:30:00+00:00
2023-03-08 09:40:00+00:00,55,-7.3,,,,,,,2023-03-08 09:40:00+00:00
2023-03-08 09:50:00+00:00,55,-7.4,,,,,,,2023-03-08 09:50:00+00:00
2023-03-08 10:00:00+00:00,55,-7.1,-5.1,1.2,179.0,0.0,43.0,-15.6,2023-03-08 10:00:00+00:00
2023-03-08 10:10:00+00:00,55,-7.1,,,,,,,2023-03-08 10:10:00+00:00
2023-03-08 10:20:00+00:00,55,-6.5,,,,,,,2023-03-08 10:20:00+00:00
2023-03-08 10:30:00+00:00,55,-6.8,,,,,,,2023-03-08 10:30:00+00:00
2023-03-08 10:40:00+00:00,54,-6.1,,,,,,,2023-03-08 10:40:00+00:00
2023-03-08 10:50:00+00:00,54,-7.4,,,,,,,2023-03-08 10:50:00+00:00
2023-03-08 11:00:00+00:00,55,-7.1,-3.9,1.2,188.0,0.0,47.0,-13.2,2023-03-08 11:00:00+00:00
2023-03-08 11:10:00+00:00,54,-7.6,,,,,,,2023-03-08 11:10:00+00:00
2023-03-08 11:20:00+00:00,55,-6.0,,,,,,,2023-03-08 11:20:00+00:00
2023-03-08 11:30:00+00:00,54,-5.9,,,,,,,2023-03-08 11:30:00+00:00
2023-03-08 11:40:00+00:00,54,-4.2,,,,,,,2023-03-08 11:40:00+00:00
2023-03-08 11:50:00+00:00,54,-4.7,,,,,,,2023-03-08 11:50:00+00:00
2023-03-08 12:00:00+00:00,54,-4.7,-2.4,0.6,174.0,0.0,57.0,-9.8,2023-03-08 12:00:00+00:00
2023-03-08 12:10:00+00:00,54,-5.6,,,,,,,2023-03-08 12:10:00+00:00
2023-03-08 12:20:00+00:00,54,-5.6,,,,,,,2023-03-08 12:20:00+00:00
2023-03-08 12:30:00+00:00,54,-5.3,,,,,,,2023-03-08 12:30:00+00:00
2023-03-08 12:40:00+00:00,54,-5.5,,,,,,,2023-03-08 12:40:00+00:00
2023-03-08 12:50:00+00:00,54,-7.0,,,,,,,2023-03-08 12:50:00+00:00
2023-03-08 13:00:00+00:00,54,-7.4,-3.8,0.9,215.0,0.0,60.0,-10.2,2023-03-08 13:00:00+00:00
