referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2023-12-01 23:40:00+00:00,9,-12.6,,,,,,,2023-12-01 23:40:00+00:00
2023-12-01 23:50:00+00:00,9,-13.3,,,,,,,2023-12-01 23:50:00+00:00
2023-12-02 00:00:00+00:00,9,-13.3,-7.3,0.2,190.0,0.0,54.0,-15.0,2023-12-02 00:00:00+00:00
2023-12-02 00:10:00+00:00,9,-13.0,,,,,,,2023-12-02 00:10:00+00:00
2023-12-02 00:20:00+00:00,9,-11.3,,,,,,,2023-12-02 00:20:00+00:00
2023-12-02 00:30:00+00:00,9,-11.0,,,,,,,2023-12-02 00:30:00+00:00
2023-12-02 00:40:00+00:00,9,-11.0,,,,,,,2023-12-02 00:40:00+00:00
2023-12-02 00:50:00+00:00,9,-10.6,,,,,,,2023-12-02 00:50:00+00:00
2023-12-02 01:00:00+00:00,9,-10.4,-6.6,0.3,180.0,0.0,57.0,-13.8,2023-12-02 01:00:00+00:00
2023-12-02 01:10:00+00:00,9,-9.8,,,,,,,2023-12-02 01:10:00+00:00
2023-12-02 01:20:00+00:00,8,-9.2,,,,,,,2023-12-02 01:20:00+00:00
2023-12-02 01:30:00+00:00,9,-8.9,,,,,,,2023-12-02 01:30:00+00:00
2023-12-02 01:40:00+00:00,9,-8.6,,,,,,,2023-12-02 01:40:00+00:00
2023-12-02 01:50:00+00:00,9,-8.3,,,,,,,2023-12-02 01:50:00+00:00
2023-12-02 02:00:00+00:00,8,-7.8,-6.0,0.0,0.0,0.1,64.0,-11.6,2023-12-02 02:00:00+00:00
2023-12-02 02:10:00+00:00,8,-7.6,,,,,,,2023-12-02 02:10:00+00:00
2023-12-02 02:20:00+00:00,8,-7.6,,,,,,,2023-12-02 02:20:00+00:00
2023-12-02 02:30:00+00:00,8,-7.9,,,,,,,2023-12-02 02:30:00+00:00
2023-12-02 02:40:00+00:00,9,-7.6,,,,,,,2023-12-02 02:40:00+00:00
2023-12-02 02:50:00+00:00,9,-7.6,,,,,,,2023-12-02 02:50:00+00:00
2023-12-02 03:00:00+00:00,9,-7.2,-6.7,1.3,146.0,0.4,88.0,-8.1,2023-12-02 03:00:00+00:00
2023-12-02 03:10:00+00:00,9,-7.0,,,,,,,2023-12-02 03:10:00+00:00
2023-12-02 03:20:00+00:00,9,-6.8,,,,,,,2023-12-02 03:20:00+00:00
2023-12-02 03:30:00+00:00,9,-6.9,,,,,,,2023-12-02 03:30:00+00:00
2023-12-02 03:40:00+00:00,9,-6.6,,,,,,,2023-12-02 03:40:00+00:00
2023-12-02 03:50:00+00:00,9,-6.6,,,,,,,2023-12-02 03:50:00+00:00
2023-12-02 04:00:00+00:00,9,-6.6,-6.4,0.2,123.0,0.1,89.0,-7.8,2023-12-02 04:00:00+00:00
2023-12-02 04:10:00+00:00,9,-6.6,,,,,,,2023-12-02 04:10:00+00:00
2023-12-02 04:20:00+00:00,9,-6.4,,,,,,,2023-12-02 04:20:00+00:00
2023-12-02 04:30:00+00:00,9,-6.3,,,,,,,2023-12-02 04:30:00+00:00
2023-12-02 04:40:00+00:00,9,-6.1,,,,,,,2023-12-02 04:40:00+00:00
2023-12-02 04:50:00+00:00,9,-6.2,,,,,,,2023-12-02 04:50:00+00:00
2023-12-02 05:00:00+00:00,9,-6.0,-5.9,0.1,145.0,0.0,91.0,-7.4,2023-12-02 05:00:00+00:00
2023-12-02 05:10:00+00:00,9,-5.8,,,,,,,2023-12-02 05:10:00+00:00
2023-12-02 05:20:00+00:00,9,-5.7,,,,,,,2023-12-02 05:20:00+00:00
2023-12-02 05:30:00+00:00,9,-5.7,,,,,,,2023-12-02 05:30:00+00:00
2023-12-02 05:40:00+00:00,9,-5.5,,,,,,,2023-12-02 05:40:00+00:00
2023-12-02 05:50:00+00:00,9,-5.4,,,,,,,2023-12-02 05:50:00+00:00
2023-12-02 06:00:00+00:00,9,-5.1,-4.7,0.0,0.0,0.1,93.0,-5.7,2023-12-02 06:00:00+00:00
2023-12-02 06:10:00+00:00,9,-5.2,,,,,,,2023-12-02 06:10:00+00:00
2023-12-02 06:20:00+00:00,10,-5.1,,,,,,,2023-12-02 06:20:00+00:00
2023-12-02 06:30:00+00:00,10,-5.1,,,,,,,2023-12-02 06:30:00+00:00
2023-12-02 06:40:00+00:00,10,-5.0,,,,,,,2023-12-02 06:40:00+00:00
2023-12-02 06:50:00+00:00,10,-5.0,,,,,,,2023-12-02 06:50:00+00:00
2023-12-02 07:00:00+00:00,10,-5.1,-4.6,0.6,311.0,0.5,94.0,-5.7,2023-12-02 07:00:00+00:00
2023-12-02 07:10:00+00:00,10,-5.1,,,,,,,2023-12-02 07:10:00+00:00
2023-12-02 07:20:00+00:00,10,-5.0,,,,,,,2023-12-02 07:20:00+00:00
2023-12-02 07:30:00+00:00,11,-5.1,,,,,,,2023-12-02 07:30:00+00:00
2023-12-02 07:40:00+00:00,11,-4.9,,,,,,,2023-12-02 07:40:00+00:00
2023-12-02 07:50:00+00:00,11,-5.0,,,,,,,2023-12-02 07:50:00+00:00
2023-12-02 08:00:00+00:00,11,-5.0,-4.8,0.0,0.0,0.2,93.0,-5.7,2023-12-02 08:00:00+00:00
2023-12-02 08:10:00+00:00,11,-4.9,,,,,,,2023-12-02 08:10:00+00:00
2023-12-02 08:20:00+00:00,11,-4.8,,,,,,,2023-12-02 08:20:00+00:00
2023-12-02 08:30:00+00:00,11,-4.8,,,,,,,2023-12-02 08:30:00+00:00
2023-12-02 08:40:00+00:00,12,-4.8,,,,,,,2023-12-02 08:40:00+00:00
2023-12-02 08:50:00+00:00,12,-4.7,,,,,,,2023-12-02 08:50:00+00:00
2023-12-02 09:00:00+00:00,12,-4.5,-4.6,0.9,161.0,0.7,94.0,-5.7,2023-12-02 09:00:00+00:00
2023-12-02 09:10:00+00:00,12,-4.4,,,,,,,2023-12-02 09:10:00+00:00
2023-12-02 09:20:00+00:00,12,-4.5,,,,,,,2023-12-02 09:20:00+00:00
2023-12-02 09:30:00+00:00,13,-4.4,,,,,,,2023-12-02 09:30:00+00:00
2023-12-02 09:40:00+00:00,13,-4.4,,,,,,,2023-12-02 09:40:00+00:00
2023-12-02 09:50:00+00:00,13,-4.2,,,,,,,2023-12-02 09:50:00+00:00
2023-12-02 10:00:00+00:00,13,-4.1,-4.0,0.3,176.0,0.9,92.0,-5.3,2023-12-02 10:00:00+00:00
