referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2023-01-14 00:40:00+00:00,35,-3.6,,,,,,,2023-01-14 00:40:00+00:00
2023-01-14 00:50:00+00:00,35,-3.1,,,,,,,2023-01-14 00:50:00+00:00
2023-01-14 01:00:00+00:00,35,-2.3,-1.1,0.0,0.0,0.0,93.0,-2.2,2023-01-14 01:00:00+00:00
2023-01-14 01:10:00+00:00,35,-2.1,,,,,,,2023-01-14 01:10:00+00:00
2023-01-14 01:20:00+00:00,35,-2.4,,,,,,,2023-01-14 01:20:00+00:00
2023-01-14 01:30:00+00:00,35,-2.9,,,,,,,2023-01-14 01:30:00+00:00
2023-01-14 01:40:00+00:00,35,-3.1,,,,,,,2023-01-14 01:40:00+00:00
2023-01-14 01:50:00+00:00,35,-2.6,,,,,,,2023-01-14 01:50:00+00:00
2023-01-14 02:00:00+00:00,35,-3.5,-1.3,0.0,0.0,0.0,92.0,-2.2,2023-01-14 02:00:00+00:00
2023-01-14 02:10:00+00:00,35,-2.4,,,,,,,2023-01-14 02:10:00+00:00
2023-01-14 02:20:00+00:00,35,-3.1,,,,,,,2023-01-14 02:20:00+00:00
2023-01-14 02:30:00+00:00,35,-3.1,,,,,,,2023-01-14 02:30:00+00:00
2023-01-14 02:40:00+00:00,35,-2.6,,,,,,,2023-01-14 02:40:00+00:00
2023-01-14 02:50:00+00:00,35,-2.3,,,,,,,2023-01-14 02:50:00+00:00
2023-01-14 03:00:00+00:00,35,-3.3,-1.2,0.0,0.0,0.0,93.0,-2.2,2023-01-14 03:00:00+00:00
2023-01-14 03:10:00+00:00,35,-3.2,,,,,,,2023-01-14 03:10:00+00:00
2023-01-14 03:20:00+00:00,35,-3.2,,,,,,,2023-01-14 03:20:00+00:00
2023-01-14 03:30:00+00:00,35,-4.5,,,,,,,2023-01-14 03:30:00+00:00
2023-01-14 03:40:00+00:00,35,-5.9,,,,,,,2023-01-14 03:40:00+00:00
2023-01-14 03:50:00+00:00,35,-8.5,,,,,,,2023-01-14 03:50:00+00:00
2023-01-14 04:00:00+00:00,35,-8.6,-3.1,0.0,0.0,0.0,90.0,-4.4,2023-01-14 04:00:00+00:00
