referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2023-12-22 01:40:00+00:00,29,-4.2,,,,,,,2023-12-22 01:40:00+00:00
2023-12-22 01:50:00+00:00,28,-4.3,,,,,,,2023-12-22 01:50:00+00:00
2023-12-22 02:00:00+00:00,28,-4.4,-3.8,9.2,340.0,0.8,87.0,-5.7,2023-12-22 02:00:00+00:00
2023-12-22 02:10:00+00:00,27,-4.4,,,,,,,2023-12-22 02:10:00+00:00
2023-12-22 02:20:00+00:00,27,-4.3,,,,,,,2023-12-22 02:20:00+00:00
2023-12-22 02:30:00+00:00,26,-4.4,,,,,,,2023-12-22 02:30:00+00:00
2023-12-22 02:40:00+00:00,26,-4.3,,,,,,,2023-12-22 02:40:00+00:00
2023-12-22 02:50:00+00:00,26,-4.3,,,,,,,2023-12-22 02:50:00+00:00
2023-12-22 03:00:00+00:00,26,-4.4,-4.3,6.7,329.0,0.5,96.0,-5.0,2023-12-22 03:00:00+00:00
2023-12-22 03:10:00+00:00,26,-4.6,,,,,,,2023-12-22 03:10:00+00:00
2023-12-22 03:20:00+00:00,26,-5.0,,,,,,,2023-12-22 03:20:00+00:00
2023-12-22 03:30:00+00:00,26,-5.4,,,,,,,2023-12-22 03:30:00+00:00
2023-12-22 03:40:00+00:00,26,-6.0,,,,,,,2023-12-22 03:40:00+00:00
2023-12-22 03:50:00+00:00,26,-6.4,,,,,,,2023-12-22 03:50:00+00:00
2023-12-22 04:00:00+00:00,26,-6.6,-4.7,6.0,340.0,0.0,78.0,-7.8,2023-12-22 04:00:00+00:00
2023-12-22 04:10:00+00:00,26,-6.6,,,,,,,2023-12-22 04:10:00+00:00
2023-12-22 04:20:00+00:00,26,-6.4,,,,,,,2023-12-22 04:20:00+00:00
2023-12-22 04:30:00+00:00,26,-6.5,,,,,,,2023-12-22 04:30:00+00:00
2023-12-22 04:40:00+00:00,26,-6.1,,,,,,,2023-12-22 04:40:00+00:00
2023-12-22 04:50:00+00:00,26,-5.9,,,,,,,2023-12-22 04:50:00+00:00
2023-12-22 05:00:00+00:00,26,-5.8,-4.6,4.1,335.0,0.0,80.0,-7.8,2023-12-22 05:00:00+00:00
2023-12-22 05:10:00+00:00,26,-5.6,,,,,,,2023-12-22 05:10:00+00:00
2023-12-22 05:20:00+00:00,26,-5.6,,,,,,,2023-12-22 05:20:00+00:00
2023-12-22 05:30:00+00:00,26,-6.2,,,,,,,2023-12-22 05:30:00+00:00
2023-12-22 05:40:00+00:00,26,-7.0,,,,,,,2023-12-22 05:40:00+00:00
2023-12-22 05:50:00+00:00,26,-6.3,,,,,,,2023-12-22 05:50:00+00:00
2023-12-22 06:00:00+00:00,26,-6.2,-4.7,8.3,346.0,0.1,73.0,-8.9,2023-12-22 06:00:00+00:00
2023-12-22 06:10:00+00:00,26,-6.2,,,,,,,2023-12-22 06:10:00+00:00
2023-12-22 06:20:00+00:00,26,-6.8,,,,,,,2023-12-22 06:20:00+00:00
2023-12-22 06:30:00+00:00,26,-6.6,,,,,,,2023-12-22 06:30:00+00:00
2023-12-22 06:40:00+00:00,26,-6.4,,,,,,,2023-12-22 06:40:00+00:00
2023-12-22 06:50:00+00:00,25,-6.5,,,,,,,2023-12-22 06:50:00+00:00
2023-12-22 07:00:00+00:00,26,-7.0,-5.0,4.4,344.0,0.0,77.0,-8.5,2023-12-22 07:00:00+00:00
2023-12-22 07:10:00+00:00,26,-6.3,,,,,,,2023-12-22 07:10:00+00:00
2023-12-22 07:20:00+00:00,26,-6.8,,,,,,,2023-12-22 07:20:00+00:00
2023-12-22 07:30:00+00:00,26,-6.9,,,,,,,2023-12-22 07:30:00+00:00
2023-12-22 07:40:00+00:00,26,-8.8,,,,,,,2023-12-22 07:40:00+00:00
2023-12-22 07:50:00+00:00,26,-9.5,,,,,,,2023-12-22 07:50:00+00:00
2023-12-22 08:00:00+00:00,26,-9.8,-5.7,4.6,345.0,0.0,70.0,-10.2,2023-12-22 08:00:00+00:00
2023-12-22 08:10:00+00:00,25,-9.6,,,,,,,2023-12-22 08:10:00+00:00
2023-12-22 08:20:00+00:00,26,-9.8,,,,,,,2023-12-22 08:20:00+00:00
2023-12-22 08:30:00+00:00,26,-10.7,,,,,,,2023-12-22 08:30:00+00:00
2023-12-22 08:40:00+00:00,26,-11.3,,,,,,,2023-12-22 08:40:00+00:00
2023-12-22 08:50:00+00:00,26,-11.6,,,,,,,2023-12-22 08:50:00+00:00
2023-12-22 09:00:00+00:00,26,-12.0,-6.7,3.1,326.0,0.0,72.0,-10.7,2023-12-22 09:00:00+00:00
2023-12-22 09:10:00+00:00,26,-12.1,,,,,,,2023-12-22 09:10:00+00:00
2023-12-22 09:20:00+00:00,26,-12.4,,,,,,,2023-12-22 09:20:00+00:00
2023-12-22 09:30:00+00:00,26,-12.7,,,,,,,2023-12-22 09:30:00+00:00
2023-12-22 09:40:00+00:00,26,-14.1,,,,,,,2023-12-22 09:40:00+00:00
2023-12-22 09:50:00+00:00,25,-15.3,,,,,,,2023-12-22 09:50:00+00:00
2023-12-22 10:00:00+00:00,25,-15.4,-8.1,0.3,143.0,0.0,79.0,-11.2,2023-12-22 10:00:00+00:00
2023-12-22 10:10:00+00:00,25,-15.2,,,,,,,2023-12-22 10:10:00+00:00
2023-12-22 10:20:00+00:00,25,-15.7,,,,,,,2023-12-22 10:20:00+00:00
2023-12-22 10:30:00+00:00,25,-16.1,,,,,,,2023-12-22 10:30:00+00:00
2023-12-22 10:40:00+00:00,25,-16.3,,,,,,,2023-12-22 10:40:00+00:00
2023-12-22 10:50:00+00:00,25,-15.2,,,,,,,2023-12-22 10:50:00+00:00
2023-12-22 11:00:00+00:00,25,-13.6,-6.8,1.9,323.0,0.0,73.0,-10.7,2023-12-22 11:00:00+00:00
2023-12-22 11:10:00+00:00,26,-13.1,,,,,,,2023-12-22 11:10:00+00:00
2023-12-22 11:20:00+00:00,26,-13.3,,,,,,,2023-12-22 11:20:00+00:00
2023-12-22 11:30:00+00:00,25,-14.0,,,,,,,2023-12-22 11:30:00+00:00
2023-12-22 11:40:00+00:00,25,-14.1,,,,,,,2023-12-22 11:40:00+00:00
2023-12-22 11:50:00+00:00,25,-13.8,,,,,,,2023-12-22 11:50:00+00:00
2023-12-22 12:00:00+00:00,25,-13.6,-7.0,2.4,323.0,0.0,71.0,-11.2,2023-12-22 12:00:00+00:00
2023-12-22 12:10:00+00:00,26,-12.5,,,,,,,2023-12-22 12:10:00+00:00
2023-12-22 12:20:00+00:00,26,-12.3,,,,,,,2023-12-22 12:20:00+00:00
2023-12-22 12:30:00+00:00,26,-11.7,,,,,,,2023-12-22 12:30:00+00:00
2023-12-22 12:40:00+00:00,25,-11.3,,,,,,,2023-12-22 12:40:00+00:00
2023-12-22 12:50:00+00:00,26,-11.1,,,,,,,2023-12-22 12:50:00+00:00
2023-12-22 13:00:00+00:00,25,-12.7,-7.2,1.1,346.0,0.0,76.0,-10.7,2023-12-22 13:00:00+00:00
2023-12-22 13:10:00+00:00,25,-13.1,,,,,,,2023-12-22 13:10:00+00:00
2023-12-22 13:20:00+00:00,25,-12.4,,,,,,,2023-12-22 13:20:00+00:00
2023-12-22 13:30:00+00:00,25,-12.2,,,,,,,2023-12-22 13:30:00+00:00
2023-12-22 13:40:00+00:00,25,-11.7,,,,,,,2023-12-22 13:40:00+00:00
2023-12-22 13:50:00+00:00,25,-11.7,,,,,,,2023-12-22 13:50:00+00:00
2023-12-22 14:00:00+00:00,25,-11.2,-8.0,0.1,156.0,0.0,78.0,-11.2,2023-12-22 14:00:00+00:00
2023-12-22 14:10:00+00:00,25,-10.4,,,,,,,2023-12-22 14:10:00+00:00
2023-12-22 14:20:00+00:00,25,-10.3,,,,,,,2023-12-22 14:20:00+00:00
2023-12-22 14:30:00+00:00,25,-10.8,,,,,,,2023-12-22 14:30:00+00:00
2023-12-22 14:40:00+00:00,25,-11.1,,,,,,,2023-12-22 14:40:00+00:00
2023-12-22 14:50:00+00:00,25,-11.0,,,,,,,2023-12-22 14:50:00+00:00
2023-12-22 15:00:00+00:00,25,-10.0,-7.3,2.4,334.0,0.0,82.0,-9.8,2023-12-22 15:00:00+00:00
2023-12-22 15:10:00+00:00,25,-9.7,,,,,,,2023-12-22 15:10:00+00:00
2023-12-22 15:20:00+00:00,25,-9.6,,,,,,,2023-12-22 15:20:00+00:00
2023-12-22 15:30:00+00:00,25,-8.9,,,,,,,2023-12-22 15:30:00+00:00
2023-12-22 15:40:00+00:00,25,-8.9,,,,,,,2023-12-22 15:40:00+00:00
2023-12-22 15:50:00+00:00,25,-11.3,,,,,,,2023-12-22 15:50:00+00:00
2023-12-22 16:00:00+00:00,25,-13.1,-8.0,0.6,153.0,0.0,87.0,-9.8,2023-12-22 16:00:00+00:00
2023-12-22 16:10:00+00:00,25,-13.6,,,,,,,2023-12-22 16:10:00+00:00
2023-12-22 16:20:00+00:00,25,-14.1,,,,,,,2023-12-22 16:20:00+00:00
2023-12-22 16:30:00+00:00,25,-15.1,,,,,,,2023-12-22 16:30:00+00:00
2023-12-22 16:40:00+00:00,25,-13.0,,,,,,,2023-12-22 16:40:00+00:00
2023-12-22 16:50:00+00:00,25,-12.2,,,,,,,2023-12-22 16:50:00+00:00
2023-12-22 17:00:00+00:00,25,-12.6,-8.5,0.4,187.0,0.0,92.0,-9.8,2023-12-22 17:00:00+00:00
2023-12-22 17:10:00+00:00,25,-12.2,,,,,,,2023-12-22 17:10:00+00:00
2023-12-22 17:20:00+00:00,25,-12.5,,,,,,,2023-12-22 17:20:00+00:00
2023-12-22 17:30:00+00:00,25,-10.7,,,,,,,2023-12-22 17:30:00+00:00
2023-12-22 17:40:00+00:00,25,-9.7,,,,,,,2023-12-22 17:40:00+00:00
2023-12-22 17:50:00+00:00,26,-10.0,,,,,,,2023-12-22 17:50:00+00:00
2023-12-22 18:00:00+00:00,26,-9.4,-7.9,0.6,160.0,0.0,92.0,-8.9,2023-12-22 18:00:00+00:00
2023-12-22 18:10:00+00:00,26,-9.3,,,,,,,2023-12-22 18:10:00+00:00
2023-12-22 18:20:00+00:00,26,-8.7,,,,,,,2023-12-22 18:20:00+00:00
2023-12-22 18:30:00+00:00,26,-8.6,,,,,,,2023-12-22 18:30:00+00:00
2023-12-22 18:40:00+00:00,26,-8.1,,,,,,,2023-12-22 18:40:00+00:00
2023-12-22 18:50:00+00:00,26,-8.4,,,,,,,2023-12-22 18:50:00+00:00
2023-12-22 19:00:00+00:00,26,-7.8,-7.4,0.8,163.0,0.0,93.0,-8.1,2023-12-22 19:00:00+00:00
2023-12-22 19:10:00+00:00,27,-7.4,,,,,,,2023-12-22 19:10:00+00:00
2023-12-22 19:20:00+00:00,29,-7.5,,,,,,,2023-12-22 19:20:00+00:00
2023-12-22 19:30:00+00:00,29,-7.1,,,,,,,2023-12-22 19:30:00+00:00
2023-12-22 19:40:00+00:00,30,-7.1,,,,,,,2023-12-22 19:40:00+00:00
2023-12-22 19:50:00+00:00,30,-7.0,,,,,,,2023-12-22 19:50:00+00:00
2023-12-22 20:00:00+00:00,30,-7.2,-6.6,0.9,164.0,1.7,92.0,-7.8,2023-12-22 20:00:00+00:00
2023-12-22 20:10:00+00:00,30,-7.5,,,,,,,2023-12-22 20:10:00+00:00
2023-12-22 20:20:00+00:00,30,-7.4,,,,,,,2023-12-22 20:20:00+00:00
2023-12-22 20:30:00+00:00,30,-7.3,,,,,,,2023-12-22 20:30:00+00:00
2023-12-22 20:40:00+00:00,30,-6.9,,,,,,,2023-12-22 20:40:00+00:00
2023-12-22 20:50:00+00:00,30,-6.7,,,,,,,2023-12-22 20:50:00+00:00
2023-12-22 21:00:00+00:00,30,-7.0,-6.2,1.0,209.0,0.0,91.0,-7.4,2023-12-22 21:00:00+00:00
2023-12-22 21:10:00+00:00,30,-6.7,,,,,,,2023-12-22 21:10:00+00:00
2023-12-22 21:20:00+00:00,30,-6.8,,,,,,,2023-12-22 21:20:00+00:00
2023-12-22 21:30:00+00:00,30,-6.7,,,,,,,2023-12-22 21:30:00+00:00
2023-12-22 21:40:00+00:00,30,-6.8,,,,,,,2023-12-22 21:40:00+00:00
2023-12-22 21:50:00+00:00,30,-6.8,,,,,,,2023-12-22 21:50:00+00:00
