referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2025-01-12 04:20:00+00:00,19,-14.7,,,,,,,2025-01-12 04:20:00+00:00
2025-01-12 04:30:00+00:00,19,-13.6,,,,,,,2025-01-12 04:30:00+00:00
2025-01-12 04:40:00+00:00,19,-14.3,,,,,,,2025-01-12 04:40:00+00:00
2025-01-12 04:50:00+00:00,20,-12.8,,,,,,,2025-01-12 04:50:00+00:00
2025-01-12 05:00:00+00:00,20,-13.9,-6.1,1.6,174.0,0.0,50.0,-14.4,2025-01-12 05:00:00+00:00
2025-01-12 05:10:00+00:00,20,-14.8,,,,,,,2025-01-12 05:10:00+00:00
2025-01-12 05:20:00+00:00,20,-14.7,,,,,,,2025-01-12 05:20:00+00:00
2025-01-12 05:30:00+00:00,20,-15.0,,,,,,,2025-01-12 05:30:00+00:00
2025-01-12 05:40:00+00:00,20,-14.7,,,,,,,2025-01-12 05:40:00+00:00
2025-01-12 05:50:00+00:00,20,-15.0,,,,,,,2025-01-12 05:50:00+00:00
2025-01-12 06:00:00+00:00,19,-15.1,-7.1,1.0,162.0,0.0,55.0,-14.4,2025-01-12 06:00:00+00:00
2025-01-12 06:10:00+00:00,19,-13.6,,,,,,,2025-01-12 06:10:00+00:00
2025-01-12 06:20:00+00:00,19,-14.7,,,,,,,2025-01-12 06:20:00+00:00
2025-01-12 06:30:00+00:00,20,-15.0,,,,,,,2025-01-12 06:30:00+00:00
2025-01-12 06:40:00+00:00,19,-14.7,,,,,,,2025-01-12 06:40:00+00:00
2025-01-12 06:50:00+00:00,19,-13.8,,,,,,,2025-01-12 06:50:00+00:00
2025-01-12 07:00:00+00:00,20,-12.8,-5.7,2.1,204.0,0.0,48.0,-15.0,2025-01-12 07:00:00+00:00
2025-01-12 07:10:00+00:00,20,-14.0,,,,,,,2025-01-12 07:10:00+00:00
2025-01-12 07:20:00+00:00,19,-14.1,,,,,,,2025-01-12 07:20:00+00:00
2025-01-12 07:30:00+00:00,19,-13.6,,,,,,,2025-01-12 07:30:00+00:00
2025-01-12 07:40:00+00:00,19,-13.8,,,,,,,2025-01-12 07:40:00+00:00
2025-01-12 07:50:00+00:00,20,-14.2,,,,,,,2025-01-12 07:50:00+00:00
2025-01-12 08:00:00+00:00,19,-14.1,-6.4,0.9,162.0,0.0,49.0,-15.0,2025-01-12 08:00:00+00:00
2025-01-12 08:10:00+00:00,19,-14.4,,,,,,,2025-01-12 08:10:00+00:00
2025-01-12 08:20:00+00:00,19,-13.6,,,,,,,2025-01-12 08:20:00+00:00
