referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2022-12-29 20:40:00+00:00,7,0.0,,,,,,,2022-12-29 20:40:00+00:00
2022-12-29 20:50:00+00:00,7,0.1,,,,,,,2022-12-29 20:50:00+00:00
2022-12-29 21:00:00+00:00,7,0.1,0.7,0.9,146.0,0.2,94.0,-0.2,2022-12-29 21:00:00+00:00
2022-12-29 21:10:00+00:00,8,0.0,,,,,,,2022-12-29 21:10:00+00:00
2022-12-29 21:20:00+00:00,8,0.1,,,,,,,2022-12-29 21:20:00+00:00
2022-12-29 21:30:00+00:00,8,0.0,,,,,,,2022-12-29 21:30:00+00:00
2022-12-29 21:40:00+00:00,8,0.0,,,,,,,2022-12-29 21:40:00+00:00
2022-12-29 21:50:00+00:00,9,0.0,,,,,,,2022-12-29 21:50:00+00:00
2022-12-29 22:00:00+00:00,9,-0.1,0.1,3.4,320.0,1.8,97.0,-0.2,2022-12-29 22:00:00+00:00
2022-12-29 22:10:00+00:00,9,-0.1,,,,,,,2022-12-29 22:10:00+00:00
2022-12-29 22:20:00+00:00,10,-0.2,,,,,,,2022-12-29 22:20:00+00:00
2022-12-29 22:30:00+00:00,10,-0.1,,,,,,,2022-12-29 22:30:00+00:00
2022-12-29 22:40:00+00:00,10,-0.1,,,,,,,2022-12-29 22:40:00+00:00
2022-12-29 22:50:00+00:00,10,-0.1,,,,,,,2022-12-29 22:50:00+00:00
2022-12-29 23:00:00+00:00,11,-0.2,0.0,2.1,74.0,0.7,97.0,-0.5,2022-12-29 23:00:00+00:00
2022-12-29 23:10:00+00:00,12,-0.2,,,,,,,2022-12-29 23:10:00+00:00
2022-12-29 23:20:00+00:00,13,-0.3,,,,,,,2022-12-29 23:20:00+00:00
2022-12-29 23:30:00+00:00,13,-0.3,,,,,,,2022-12-29 23:30:00+00:00
2022-12-29 23:40:00+00:00,13,-0.7,,,,,,,2022-12-29 23:40:00+00:00
2022-12-29 23:50:00+00:00,13,-0.7,,,,,,,2022-12-29 23:50:00+00:00
2022-12-30 00:00:00+00:00,14,-0.6,-0.6,0.0,0.0,0.7,97.0,-1.2,2022-12-30 00:00:00+00:00
2022-12-30 00:10:00+00:00,13,-0.7,,,,,,,2022-12-30 00:10:00+00:00
2022-12-30 00:20:00+00:00,13,-0.7,,,,,,,2022-12-30 00:20:00+00:00
2022-12-30 00:30:00+00:00,13,-0.8,,,,,,,2022-12-30 00:30:00+00:00
2022-12-30 00:40:00+00:00,14,-0.8,,,,,,,2022-12-30 00:40:00+00:00
2022-12-30 00:50:00+00:00,14,-0.7,,,,,,,2022-12-30 00:50:00+00:00
2022-12-30 01:00:00+00:00,15,-0.7,-0.5,0.0,0.0,0.9,97.0,-0.9,2022-12-30 01:00:00+00:00
2022-12-30 01:10:00+00:00,15,-0.7,,,,,,,2022-12-30 01:10:00+00:00
2022-12-30 01:20:00+00:00,16,-0.9,,,,,,,2022-12-30 01:20:00+00:00
2022-12-30 01:30:00+00:00,17,-0.6,,,,,,,2022-12-30 01:30:00+00:00
2022-12-30 01:40:00+00:00,17,-0.6,,,,,,,2022-12-30 01:40:00+00:00
2022-12-30 01:50:00+00:00,17,-0.5,,,,,,,2022-12-30 01:50:00+00:00
2022-12-30 02:00:00+00:00,17,-0.4,-0.2,0.0,0.0,0.9,97.0,-0.7,2022-12-30 02:00:00+00:00
2022-12-30 02:10:00+00:00,17,-0.3,,,,,,,2022-12-30 02:10:00+00:00
2022-12-30 02:20:00+00:00,18,-0.4,,,,,,,2022-12-30 02:20:00+00:00
2022-12-30 02:30:00+00:00,19,-0.4,,,,,,,2022-12-30 02:30:00+00:00
