referenceTime,air_temperature,wind_speed,wind_from_direction,surface_snow_thickness,sum(precipitation_amount PT1H),relative_humidity,surface_temperature,dew_point_temperature,time
2024-01-20 02:00:00+00:00,-8.1,0.7,170.0,73,0.0,89.0,-15.2,-9.8,2024-01-20 02:00:00+00:00
2024-01-20 02:10:00+00:00,,,,73,,,-14.3,,2024-01-20 02:10:00+00:00
2024-01-20 02:20:00+00:00,,,,73,,,-15.0,,2024-01-20 02:20:00+00:00
2024-01-20 02:30:00+00:00,,,,73,,,-16.3,,2024-01-20 02:30:00+00:00
2024-01-20 02:40:00+00:00,,,,73,,,-14.5,,2024-01-20 02:40:00+00:00
2024-01-20 02:50:00+00:00,,,,73,,,-14.2,,2024-01-20 02:50:00+00:00
2024-01-20 03:00:00+00:00,-7.7,0.8,190.0,73,0.0,79.0,-14.4,-10.7,2024-01-20 03:00:00+00:00
2024-01-20 03:10:00+00:00,,,,73,,,-15.7,,2024-01-20 03:10:00+00:00
2024-01-20 03:20:00+00:00,,,,73,,,-15.2,,2024-01-20 03:20:00+00:00
2024-01-20 03:30:00+00:00,,,,73,,,-14.7,,2024-01-20 03:30:00+00:00
2024-01-20 03:40:00+00:00,,,,73,,,-14.2,,2024-01-20 03:40:00+00:00
2024-01-20 03:50:00+00:00,,,,73,,,-14.7,,2024-01-20 03:50:00+00:00
2024-01-20 04:00:00+00:00,-7.4,0.6,172.0,73,0.0,76.0,-14.9,-10.7,2024-01-20 04:00:00+00:00
2024-01-20 04:10:00+00:00,,,,72,,,-15.3,,2024-01-20 04:10:00+00:00
2024-01-20 04:20:00+00:00,,,,73,,,-15.9,,2024-01-20 04:20:00+00:00
2024-01-20 04:30:00+00:00,,,,73,,,-13.6,,2024-01-20 04:30:00+00:00
2024-01-20 04:40:00+00:00,,,,73,,,-14.1,,2024-01-20 04:40:00+00:00
2024-01-20 04:50:00+00:00,,,,73,,,-15.2,,2024-01-20 04:50:00+00:00
2024-01-20 05:00:00+00:00,-7.8,0.9,199.0,72,0.0,72.0,-15.9,-12.1,2024-01-20 05:00:00+00:00
2024-01-20 05:10:00+00:00,,,,73,,,-14.4,,2024-01-20 05:10:00+00:00
2024-01-20 05:20:00+00:00,,,,72,,,-15.4,,2024-01-20 05:20:00+00:00
2024-01-20 05:30:00+00:00,,,,72,,,-13.7,,2024-01-20 05:30:00+00:00
2024-01-20 05:40:00+00:00,,,,72,,,-13.0,,2024-01-20 05:40:00+00:00
2024-01-20 05:50:00+00:00,,,,72,,,-12.5,,2024-01-20 05:50:00+00:00
2024-01-20 06:00:00+00:00,-5.9,2.5,205.0,72,0.0,67.0,-10.9,-11.2,2024-01-20 06:00:00+00:00
2024-01-20 06:10:00+00:00,,,,72,,,-11.9,,2024-01-20 06:10:00+00:00
2024-01-20 06:20:00+00:00,,,,72,,,-11.6,,2024-01-20 06:20:00+00:00
2024-01-20 06:30:00+00:00,,,,72,,,-11.7,,2024-01-20 06:30:00+00:00
2024-01-20 06:40:00+00:00,,,,72,,,-11.4,,2024-01-20 06:40:00+00:00
2024-01-20 06:50:00+00:00,,,,72,,,-11.6,,2024-01-20 06:50:00+00:00
2024-01-20 07:00:00+00:00,-5.9,2.5,193.0,72,0.0,64.0,-11.2,-11.6,2024-01-20 07:00:00+00:00
2024-01-20 07:10:00+00:00,,,,72,,,-10.3,,2024-01-20 07:10:00+00:00
2024-01-20 07:20:00+00:00,,,,72,,,-10.0,,2024-01-20 07:20:00+00:00
2024-01-20 07:30:00+00:00,,,,72,,,-9.0,,2024-01-20 07:30:00+00:00
2024-01-20 07:40:00+00:00,,,,72,,,-7.7,,2024-01-20 07:40:00+00:00
2024-01-20 07:50:00+00:00,,,,72,,,-7.7,,2024-01-20 07:50:00+00:00
2024-01-20 08:00:00+00:00,-4.5,3.2,181.0,71,0.0,57.0,-7.3,-11.6,2024-01-20 08:00:00+00:00
2024-01-20 08:10:00+00:00,,,,71,,,-6.9,,2024-01-20 08:10:00+00:00
2024-01-20 08:20:00+00:00,,,,71,,,-6.9,,2024-01-20 08:20:00+00:00
2024-01-20 08:30:00+00:00,,,,71,,,-6.8,,2024-01-20 08:30:00+00:00
2024-01-20 08:40:00+00:00,,,,71,,,-6.8,,2024-01-20 08:40:00+00:00
2024-01-20 08:50:00+00:00,,,,71,,,-6.4,,2024-01-20 08:50:00+00:00
2024-01-20 09:00:00+00:00,-3.6,3.1,190.0,71,0.1,50.0,-6.3,-12.1,2024-01-20 09:00:00+00:00
2024-01-20 09:10:00+00:00,,,,71,,,-5.8,,2024-01-20 09:10:00+00:00
2024-01-20 09:20:00+00:00,,,,71,,,-5.8,,2024-01-20 09:20:00+00:00
2024-01-20 09:30:00+00:00,,,,71,,,-5.4,,2024-01-20 09:30:00+00:00
2024-01-20 09:40:00+00:00,,,,71,,,-5.3,,2024-01-20 09:40:00+00:00
2024-01-20 09:50:00+00:00,,,,70,,,-5.0,,2024-01-20 09:50:00+00:00
2024-01-20 10:00:00+00:00,-3.2,3.6,150.0,70,0.0,62.0,-4.8,-9.4,2024-01-20 10:00:00+00:00
2024-01-20 10:10:00+00:00,,,,70,,,-4.7,,2024-01-20 10:10:00+00:00
2024-01-20 10:20:00+00:00,,,,70,,,-4.6,,2024-01-20 10:20:00+00:00
2024-01-20 10:30:00+00:00,,,,70,,,-4.3,,2024-01-20 10:30:00+00:00
2024-01-20 10:40:00+00:00,,,,70,,,-4.1,,2024-01-20 10:40:00+00:00
2024-01-20 10:50:00+00:00,,,,70,,,-3.9,,2024-01-20 10:50:00+00:00
2024-01-20 11:00:00+00:00,-3.3,5.0,164.0,70,0.0,87.0,-3.8,-5.0,2024-01-20 11:00:00+00:00
2024-01-20 11:10:00+00:00,,,,70,,,-3.7,,2024-01-20 11:10:00+00:00
2024-01-20 11:20:00+00:00,,,,70,,,-3.6,,2024-01-20 11:20:00+00:00
2024-01-20 11:30:00+00:00,,,,71,,,-3.5,,2024-01-20 11:30:00+00:00
2024-01-20 11:40:00+00:00,,,,71,,,-3.4,,2024-01-20 11:40:00+00:00
2024-01-20 11:50:00+00:00,,,,71,,,-3.3,,2024-01-20 11:50:00+00:00
2024-01-20 12:00:00+00:00,-2.9,4.4,171.0,71,0.8,94.0,-3.1,-3.8,2024-01-20 12:00:00+00:00
2024-01-20 12:10:00+00:00,,,,71,,,-3.0,,2024-01-20 12:10:00+00:00
2024-01-20 12:20:00+00:00,,,,71,,,-3.0,,2024-01-20 12:20:00+00:00
2024-01-20 12:30:00+00:00,,,,72,,,-2.9,,2024-01-20 12:30:00+00:00
2024-01-20 12:40:00+00:00,,,,72,,,-2.9,,2024-01-20 12:40:00+00:00
2024-01-20 12:50:00+00:00,,,,72,,,-2.9,,2024-01-20 12:50:00+00:00
2024-01-20 13:00:00+00:00,-2.7,4.9,167.0,72,1.1,94.0,-2.9,-3.5,2024-01-20 13:00:00+00:00
2024-01-20 13:10:00+00:00,,,,72,,,-2.9,,2024-01-20 13:10:00+00:00
2024-01-20 13:20:00+00:00,,,,72,,,-2.8,,2024-01-20 13:20:00+00:00
2024-01-20 13:30:00+00:00,,,,72,,,-2.8,,2024-01-20 13:30:00+00:00
2024-01-20 13:40:00+00:00,,,,72,,,-2.7,,2024-01-20 13:40:00+00:00
2024-01-20 13:50:00+00:00,,,,72,,,-2.8,,2024-01-20 13:50:00+00:00
2024-01-20 14:00:00+00:00,-2.5,3.7,170.0,73,1.4,95.0,-2.7,-3.3,2024-01-20 14:00:00+00:00
2024-01-20 14:10:00+00:00,,,,73,,,-2.7,,2024-01-20 14:10:00+00:00
2024-01-20 14:20:00+00:00,,,,73,,,-2.5,,2024-01-20 14:20:00+00:00
2024-01-20 14:30:00+00:00,,,,73,,,-2.4,,2024-01-20 14:30:00+00:00
2024-01-20 14:40:00+00:00,,,,73,,,-2.4,,2024-01-20 14:40:00+00:00
2024-01-20 14:50:00+00:00,,,,73,,,-2.4,,2024-01-20 14:50:00+00:00
2024-01-20 15:00:00+00:00,-2.2,4.2,164.0,73,1.3,96.0,-2.4,-2.7,2024-01-20 15:00:00+00:00
2024-01-20 15:10:00+00:00,,,,73,,,-2.4,,2024-01-20 15:10:00+00:00
2024-01-20 15:20:00+00:00,,,,73,,,-2.4,,2024-01-20 15:20:00+00:00
2024-01-20 15:30:00+00:00,,,,74,,,-2.3,,2024-01-20 15:30:00+00:00
2024-01-20 15:40:00+00:00,,,,74,,,-2.2,,2024-01-20 15:40:00+00:00
2024-01-20 15:50:00+00:00,,,,74,,,-2.2,,2024-01-20 15:50:00+00:00
2024-01-20 16:00:00+00:00,-2.0,4.4,163.0,74,1.3,96.0,-2.2,-2.4,2024-01-20 16:00:00+00:00
2024-01-20 16:10:00+00:00,,,,74,,,-2.1,,2024-01-20 16:10:00+00:00
2024-01-20 16:20:00+00:00,,,,75,,,-2.1,,2024-01-20 16:20:00+00:00
2024-01-20 16:30:00+00:00,,,,75,,,-2.1,,2024-01-20 16:30:00+00:00
2024-01-20 16:40:00+00:00,,,,75,,,-2.1,,2024-01-20 16:40:00+00:00
2024-01-20 16:50:00+00:00,,,,75,,,-2.0,,2024-01-20 16:50:00+00:00
2024-01-20 17:00:00+00:00,-1.7,3.7,157.0,76,1.8,96.0,-1.9,-2.2,2024-01-20 17:00:00+00:00
2024-01-20 17:10:00+00:00,,,,76,,,-1.9,,2024-01-20 17:10:00+00:00
2024-01-20 17:20:00+00:00,,,,76,,,-1.8,,2024-01-20 17:20:00+00:00
2024-01-20 17:30:00+00:00,,,,77,,,-1.7,,2024-01-20 17:30:00+00:00
2024-01-20 17:40:00+00:00,,,,77,,,-1.7,,2024-01-20 17:40:00+00:00
2024-01-20 17:50:00+00:00,,,,77,,,-1.7,,2024-01-20 17:50:00+00:00
2024-01-20 18:00:00+00:00,-1.4,3.1,160.0,77,1.9,96.0,-1.6,-1.9,2024-01-20 18:00:00+00:00
2024-01-20 18:10:00+00:00,,,,78,,,-1.6,,2024-01-20 18:10:00+00:00
2024-01-20 18:20:00+00:00,,,,78,,,-1.5,,2024-01-20 18:20:00+00:00
2024-01-20 18:30:00+00:00,,,,78,,,-1.5,,2024-01-20 18:30:00+00:00
2024-01-20 18:40:00+00:00,,,,78,,,-1.5,,2024-01-20 18:40:00+00:00
2024-01-20 18:50:00+00:00,,,,78,,,-1.5,,2024-01-20 18:50:00+00:00
2024-01-20 19:00:00+00:00,-1.2,3.6,171.0,78,1.3,97.0,-1.4,-1.7,2024-01-20 19:00:00+00:00
2024-01-20 19:10:00+00:00,,,,78,,,-1.4,,2024-01-20 19:10:00+00:00
2024-01-20 19:20:00+00:00,,,,78,,,-1.3,,2024-01-20 19:20:00+00:00
2024-01-20 19:30:00+00:00,,,,78,,,-1.3,,2024-01-20 19:30:00+00:00
2024-01-20 19:40:00+00:00,,,,78,,,-1.2,,2024-01-20 19:40:00+00:00
2024-01-20 19:50:00+00:00,,,,78,,,-1.2,,2024-01-20 19:50:00+00:00
2024-01-20 20:00:00+00:00,-0.9,3.8,156.0,78,0.6,97.0,-1.1,-1.4,2024-01-20 20:00:00+00:00
2024-01-20 20:10:00+00:00,,,,78,,,-1.1,,2024-01-20 20:10:00+00:00
2024-01-20 20:20:00+00:00,,,,78,,,-1.1,,2024-01-20 20:20:00+00:00
2024-01-20 20:30:00+00:00,,,,78,,,-1.1,,2024-01-20 20:30:00+00:00
2024-01-20 20:40:00+00:00,,,,78,,,-1.1,,2024-01-20 20:40:00+00:00
2024-01-20 20:50:00+00:00,,,,78,,,-1.1,,2024-01-20 20:50:00+00:00
2024-01-20 21:00:00+00:00,-0.9,3.8,155.0,78,1.0,97.0,-1.0,-1.4,2024-01-20 21:00:00+00:00
2024-01-20 21:10:00+00:00,,,,78,,,-1.0,,2024-01-20 21:10:00+00:00
2024-01-20 21:20:00+00:00,,,,78,,,-0.9,,2024-01-20 21:20:00+00:00
2024-01-20 21:30:00+00:00,,,,78,,,-0.8,,2024-01-20 21:30:00+00:00
2024-01-20 21:40:00+00:00,,,,78,,,-0.6,,2024-01-20 21:40:00+00:00
2024-01-20 21:50:00+00:00,,,,78,,,-0.1,,2024-01-20 21:50:00+00:00
2024-01-20 22:00:00+00:00,-0.3,3.9,152.0,78,1.2,98.0,-0.5,-0.5,2024-01-20 22:00:00+00:00
2024-01-20 22:10:00+00:00,,,,78,,,-0.4,,2024-01-20 22:10:00+00:00
2024-01-20 22:20:00+00:00,,,,78,,,-0.4,,2024-01-20 22:20:00+00:00
2024-01-20 22:30:00+00:00,,,,78,,,-0.3,,2024-01-20 22:30:00+00:00
2024-01-20 22:40:00+00:00,,,,78,,,-0.2,,2024-01-20 22:40:00+00:00
2024-01-20 22:50:00+00:00,,,,78,,,-0.2,,2024-01-20 22:50:00+00:00
2024-01-20 23:00:00+00:00,0.1,2.8,155.0,78,1.3,98.0,-0.1,0.0,2024-01-20 23:00:00+00:00
2024-01-20 23:10:00+00:00,,,,78,,,0.0,,2024-01-20 23:10:00+00:00
2024-01-20 23:20:00+00:00,,,,78,,,0.0,,2024-01-20 23:20:00+00:00
2024-01-20 23:30:00+00:00,,,,78,,,0.0,,2024-01-20 23:30:00+00:00
2024-01-20 23:40:00+00:00,,,,77,,,0.0,,2024-01-20 23:40:00+00:00
2024-01-20 23:50:00+00:00,,,,77,,,0.0,,2024-01-20 23:50:00+00:00
2024-01-21 00:00:00+00:00,0.8,3.9,145.0,77,0.3,98.0,0.0,0.6,2024-01-21 00:00:00+00:00
2024-01-21 00:10:00+00:00,,,,77,,,0.0,,2024-01-21 00:10:00+00:00
2024-01-21 00:20:00+00:00,,,,77,,,0.0,,2024-01-21 00:20:00+00:00
2024-01-21 00:30:00+00:00,,,,77,,,0.0,,2024-01-21 00:30:00+00:00
2024-01-21 00:40:00+00:00,,,,77,,,0.1,,2024-01-21 00:40:00+00:00
2024-01-21 00:50:00+00:00,,,,77,,,0.1,,2024-01-21 00:50:00+00:00
2024-01-21 01:00:00+00:00,1.0,2.9,144.0,77,1.1,97.0,0.1,0.6,2024-01-21 01:00:00+00:00
2024-01-21 01:10:00+00:00,,,,77,,,0.1,,2024-01-21 01:10:00+00:00
2024-01-21 01:20:00+00:00,,,,76,,,0.1,,2024-01-21 01:20:00+00:00
2024-01-21 01:30:00+00:00,,,,76,,,0.2,,2024-01-21 01:30:00+00:00
2024-01-21 01:40:00+00:00,,,,76,,,0.2,,2024-01-21 01:40:00+00:00
2024-01-21 01:50:00+00:00,,,,76,,,0.2,,2024-01-21 01:50:00+00:00
2024-01-21 02:00:00+00:00,1.0,3.1,158.0,76,0.3,95.0,0.2,0.4,2024-01-21 02:00:00+00:00
2024-01-21 02:10:00+00:00,,,,76,,,0.2,,2024-01-21 02:10:00+00:00
2024-01-21 02:20:00+00:00,,,,76,,,0.2,,2024-01-21 02:20:00+00:00
2024-01-21 02:30:00+00:00,,,,76,,,0.3,,2024-01-21 02:30:00+00:00
2024-01-21 02:40:00+00:00,,,,76,,,0.4,,2024-01-21 02:40:00+00:00
2024-01-21 02:50:00+00:00,,,,76,,,0.4,,2024-01-21 02:50:00+00:00
2024-01-21 03:00:00+00:00,1.8,4.3,150.0,76,0.0,87.0,0.4,0.0,2024-01-21 03:00:00+00:00
2024-01-21 03:10:00+00:00,,,,76,,,0.4,,2024-01-21 03:10:00+00:00
2024-01-21 03:20:00+00:00,,,,75,,,0.3,,2024-01-21 03:20:00+00:00
2024-01-21 03:30:00+00:00,,,,75,,,0.3,,2024-01-21 03:30:00+00:00
