referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2023-12-08 01:10:00+00:00,8,-7.3,,,,,,,2023-12-08 01:10:00+00:00
2023-12-08 01:20:00+00:00,8,-7.3,,,,,,,2023-12-08 01:20:00+00:00
2023-12-08 01:30:00+00:00,8,-7.4,,,,,,,2023-12-08 01:30:00+00:00
2023-12-08 01:40:00+00:00,8,-7.7,,,,,,,2023-12-08 01:40:00+00:00
2023-12-08 01:50:00+00:00,8,-7.2,,,,,,,2023-12-08 01:50:00+00:00
2023-12-08 02:00:00+00:00,8,-7.3,-5.2,10.1,162.0,0.0,73.0,-8.9,2023-12-08 02:00:00+00:00
2023-12-08 02:10:00+00:00,9,-7.4,,,,,,,2023-12-08 02:10:00+00:00
2023-12-08 02:20:00+00:00,9,-7.2,,,,,,,2023-12-08 02:20:00+00:00
2023-12-08 02:30:00+00:00,8,-7.5,,,,,,,2023-12-08 02:30:00+00:00
2023-12-08 02:40:00+00:00,8,-7.5,,,,,,,2023-12-08 02:40:00+00:00
2023-12-08 02:50:00+00:00,8,-7.1,,,,,,,2023-12-08 02:50:00+00:00
2023-12-08 03:00:00+00:00,8,-7.2,-5.3,12.2,163.0,0.0,71.0,-9.8,2023-12-08 03:00:00+00:00
2023-12-08 03:10:00+00:00,9,-6.9,,,,,,,2023-12-08 03:10:00+00:00
2023-12-08 03:20:00+00:00,9,-7.0,,,,,,,2023-12-08 03:20:00+00:00
2023-12-08 03:30:00+00:00,8,-7.3,,,,,,,2023-12-08 03:30:00+00:00
2023-12-08 03:40:00+00:00,9,-7.3,,,,,,,2023-12-08 03:40:00+00:00
2023-12-08 03:50:00+00:00,8,-7.3,,,,,,,2023-12-08 03:50:00+00:00
2023-12-08 04:00:00+00:00,8,-7.4,-5.3,11.1,160.0,0.0,68.0,-10.2,2023-12-08 04:00:00+00:00
2023-12-08 04:10:00+00:00,8,-7.4,,,,,,,2023-12-08 04:10:00+00:00
2023-12-08 04:20:00+00:00,8,-7.2,,,,,,,2023-12-08 04:20:00+00:00
2023-12-08 04:30:00+00:00,8,-7.0,,,,,,,2023-12-08 04:30:00+00:00
2023-12-08 04:40:00+00:00,8,-7.1,,,,,,,2023-12-08 04:40:00+00:00
2023-12-08 04:50:00+00:00,8,-7.0,,,,,,,2023-12-08 04:50:00+00:00
2023-12-08 05:00:00+00:00,8,-7.0,-5.2,12.0,162.0,0.0,68.0,-9.8,2023-12-08 05:00:00+00:00
2023-12-08 05:10:00+00:00,8,-7.1,,,,,,,2023-12-08 05:10:00+00:00
2023-12-08 05:20:00+00:00,8,-6.9,,,,,,,2023-12-08 05:20:00+00:00
2023-12-08 05:30:00+00:00,8,-7.0,,,,,,,2023-12-08 05:30:00+00:00
2023-12-08 05:40:00+00:00,8,-7.1,,,,,,,2023-12-08 05:40:00+00:00
2023-12-08 05:50:00+00:00,8,-7.0,,,,,,,2023-12-08 05:50:00+00:00
2023-12-08 06:00:00+00:00,8,-7.0,-5.0,10.2,163.0,0.0,66.0,-10.2,2023-12-08 06:00:00+00:00
2023-12-08 06:10:00+00:00,7,-7.0,,,,,,,2023-12-08 06:10:00+00:00
2023-12-08 06:20:00+00:00,8,-7.0,,,,,,,2023-12-08 06:20:00+00:00
2023-12-08 06:30:00+00:00,8,-6.9,,,,,,,2023-12-08 06:30:00+00:00
2023-12-08 06:40:00+00:00,7,-6.9,,,,,,,2023-12-08 06:40:00+00:00
2023-12-08 06:50:00+00:00,7,-6.7,,,,,,,2023-12-08 06:50:00+00:00
2023-12-08 07:00:00+00:00,7,-6.7,-4.8,11.0,168.0,0.0,68.0,-9.8,2023-12-08 07:00:00+00:00
2023-12-08 07:10:00+00:00,7,-6.8,,,,,,,2023-12-08 07:10:00+00:00
2023-12-08 07:20:00+00:00,7,-6.7,,,,,,,2023-12-08 07:20:00+00:00
2023-12-08 07:30:00+00:00,7,-6.7,,,,,,,2023-12-08 07:30:00+00:00
2023-12-08 07:40:00+00:00,7,-6.8,,,,,,,2023-12-08 07:40:00+00:00
2023-12-08 07:50:00+00:00,7,-6.8,,,,,,,2023-12-08 07:50:00+00:00
