referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2024-12-14 04:30:00+00:00,-1,0.1,,,,,,,2024-12-14 04:30:00+00:00
2024-12-14 04:40:00+00:00,-1,0.0,,,,,,,2024-12-14 04:40:00+00:00
2024-12-14 04:50:00+00:00,-1,0.1,,,,,,,2024-12-14 04:50:00+00:00
2024-12-14 05:00:00+00:00,-1,0.0,0.6,4.0,327.0,0.4,94.0,-0.2,2024-12-14 05:00:00+00:00
2024-12-14 05:10:00+00:00,-1,0.1,,,,,,,2024-12-14 05:10:00+00:00
2024-12-14 05:20:00+00:00,-1,0.0,,,,,,,2024-12-14 05:20:00+00:00
2024-12-14 05:30:00+00:00,-1,0.0,,,,,,,2024-12-14 05:30:00+00:00
2024-12-14 05:40:00+00:00,-1,0.0,,,,,,,2024-12-14 05:40:00+00:00
2024-12-14 05:50:00+00:00,-1,-0.3,,,,,,,2024-12-14 05:50:00+00:00
2024-12-14 06:00:00+00:00,-1,-0.1,0.3,5.2,328.0,0.4,92.0,-0.9,2024-12-14 06:00:00+00:00
2024-12-14 06:10:00+00:00,-1,-0.1,,,,,,,2024-12-14 06:10:00+00:00
2024-12-14 06:20:00+00:00,-1,-0.4,,,,,,,2024-12-14 06:20:00+00:00
2024-12-14 06:30:00+00:00,2,-0.5,,,,,,,2024-12-14 06:30:00+00:00
2024-12-14 06:40:00+00:00,2,-0.5,,,,,,,2024-12-14 06:40:00+00:00
2024-12-14 06:50:00+00:00,2,-0.5,,,,,,,2024-12-14 06:50:00+00:00
2024-12-14 07:00:00+00:00,-1,-1.0,-0.2,5.5,350.0,0.5,93.0,-1.2,2024-12-14 07:00:00+00:00
2024-12-14 07:10:00+00:00,2,-1.0,,,,,,,2024-12-14 07:10:00+00:00
2024-12-14 07:20:00+00:00,-1,-0.8,,,,,,,2024-12-14 07:20:00+00:00
2024-12-14 07:30:00+00:00,2,-0.6,,,,,,,2024-12-14 07:30:00+00:00
2024-12-14 07:40:00+00:00,-1,-0.6,,,,,,,2024-12-14 07:40:00+00:00
2024-12-14 07:50:00+00:00,-1,-0.7,,,,,,,2024-12-14 07:50:00+00:00
2024-12-14 08:00:00+00:00,-1,-0.9,-0.4,,,0.0,91.0,-1.7,2024-12-14 08:00:00+00:00
2024-12-14 08:10:00+00:00,-1,-0.8,,,,,,,2024-12-14 08:10:00+00:00
2024-12-14 08:20:00+00:00,2,-0.8,,,,,,,2024-12-14 08:20:00+00:00
2024-12-14 08:30:00+00:00,2,-0.9,,,,,,,2024-12-14 08:30:00+00:00
2024-12-14 08:40:00+00:00,2,-1.1,,,,,,,2024-12-14 08:40:00+00:00
2024-12-14 08:50:00+00:00,2,-1.2,,,,,,,2024-12-14 08:50:00+00:00
2024-12-14 09:00:00+00:00,2,-1.4,-0.9,,,0.2,90.0,-2.4,2024-12-14 09:00:00+00:00
2024-12-14 09:10:00+00:00,2,-1.3,,,,,,,2024-12-14 09:10:00+00:00
2024-12-14 09:20:00+00:00,2,-1.3,,,,,,,2024-12-14 09:20:00+00:00
2024-12-14 09:30:00+00:00,2,-2.1,,,,,,,2024-12-14 09:30:00+00:00
2024-12-14 09:40:00+00:00,2,-1.4,,,,,,,2024-12-14 09:40:00+00:00
2024-12-14 09:50:00+00:00,2,-1.3,,,,,,,2024-12-14 09:50:00+00:00
2024-12-14 10:00:00+00:00,2,-1.2,-1.2,,,0.2,91.0,-2.4,2024-12-14 10:00:00+00:00
2024-12-14 10:10:00+00:00,2,-0.8,,,,,,,2024-12-14 10:10:00+00:00
2024-12-14 10:20:00+00:00,2,-1.1,,,,,,,2024-12-14 10:20:00+00:00
2024-12-14 10:30:00+00:00,2,-1.1,,,,,,,2024-12-14 10:30:00+00:00
2024-12-14 10:40:00+00:00,2,-1.3,,,,,,,2024-12-14 10:40:00+00:00
2024-12-14 10:50:00+00:00,2,-0.7,,,,,,,2024-12-14 10:50:00+00:00
2024-12-14 11:00:00+00:00,2,-0.7,-1.2,,,0.1,96.0,-1.7,2024-12-14 11:00:00+00:00
2024-12-14 11:10:00+00:00,3,-0.9,,,,,,,2024-12-14 11:10:00+00:00
2024-12-14 11:20:00+00:00,2,-0.9,,,,,,,2024-12-14 11:20:00+00:00
2024-12-14 11:30:00+00:00,3,-1.0,,,,,,,2024-12-14 11:30:00+00:00
2024-12-14 11:40:00+00:00,3,-0.7,,,,,,,2024-12-14 11:40:00+00:00
2024-12-14 11:50:00+00:00,3,-0.8,,,,,,,2024-12-14 11:50:00+00:00
2024-12-14 12:00:00+00:00,3,-1.1,-1.0,,,0.0,93.0,-1.9,2024-12-14 12:00:00+00:00
2024-12-14 12:10:00+00:00,2,-1.3,,,,,,,2024-12-14 12:10:00+00:00
2024-12-14 12:20:00+00:00,3,-1.2,,,,,,,2024-12-14 12:20:00+00:00
2024-12-14 12:30:00+00:00,3,-1.1,,,,,,,2024-12-14 12:30:00+00:00
2024-12-14 12:40:00+00:00,3,-1.1,,,,,,,2024-12-14 12:40:00+00:00
2024-12-14 12:50:00+00:00,3,-1.2,,,,,,,2024-12-14 12:50:00+00:00
2024-12-14 13:00:00+00:00,3,-1.3,-1.4,,,0.2,95.0,-2.2,2024-12-14 13:00:00+00:00
2024-12-14 13:10:00+00:00,3,-1.2,,,,,,,2024-12-14 13:10:00+00:00
2024-12-14 13:20:00+00:00,4,-1.1,,,,,,,2024-12-14 13:20:00+00:00
2024-12-14 13:30:00+00:00,4,-1.3,,,,,,,2024-12-14 13:30:00+00:00
2024-12-14 13:40:00+00:00,4,-1.4,,,,,,,2024-12-14 13:40:00+00:00
2024-12-14 13:50:00+00:00,4,-1.4,,,,,,,2024-12-14 13:50:00+00:00
2024-12-14 14:00:00+00:00,4,-1.4,-1.4,,,0.9,96.0,-1.9,2024-12-14 14:00:00+00:00
2024-12-14 14:10:00+00:00,4,-1.5,,,,,,,2024-12-14 14:10:00+00:00
2024-12-14 14:20:00+00:00,4,-1.5,,,,,,,2024-12-14 14:20:00+00:00
2024-12-14 14:30:00+00:00,4,-1.6,,,,,,,2024-12-14 14:30:00+00:00
2024-12-14 14:40:00+00:00,4,-1.6,,,,,,,2024-12-14 14:40:00+00:00
2024-12-14 14:50:00+00:00,4,-1.6,,,,,,,2024-12-14 14:50:00+00:00
2024-12-14 15:00:00+00:00,4,-1.7,-1.4,,,0.1,95.0,-2.2,2024-12-14 15:00:00+00:00
2024-12-14 15:10:00+00:00,4,-1.6,,,,,,,2024-12-14 15:10:00+00:00
2024-12-14 15:20:00+00:00,4,-1.6,,,,,,,2024-12-14 15:20:00+00:00
2024-12-14 15:30:00+00:00,4,-1.7,,,,,,,2024-12-14 15:30:00+00:00
2024-12-14 15:40:00+00:00,4,-1.7,,,,,,,2024-12-14 15:40:00+00:00
2024-12-14 15:50:00+00:00,4,-1.7,,,,,,,2024-12-14 15:50:00+00:00
2024-12-14 16:00:00+00:00,4,-1.6,-1.4,,,0.0,94.0,-2.2,2024-12-14 16:00:00+00:00
2024-12-14 16:10:00+00:00,4,-1.5,,,,,,,2024-12-14 16:10:00+00:00
2024-12-14 16:20:00+00:00,4,-1.6,,,,,,,2024-12-14 16:20:00+00:00
2024-12-14 16:30:00+00:00,5,-1.6,,,,,,,2024-12-14 16:30:00+00:00
2024-12-14 16:40:00+00:00,5,-1.6,,,,,,,2024-12-14 16:40:00+00:00
2024-12-14 16:50:00+00:00,5,-1.6,,,,,,,2024-12-14 16:50:00+00:00
2024-12-14 17:00:00+00:00,5,-1.6,-1.5,,,0.5,96.0,-1.9,2024-12-14 17:00:00+00:00
2024-12-14 17:10:00+00:00,5,-1.5,,,,,,,2024-12-14 17:10:00+00:00
2024-12-14 17:20:00+00:00,5,-1.6,,,,,,,2024-12-14 17:20:00+00:00
2024-12-14 17:30:00+00:00,5,-1.5,,,,,,,2024-12-14 17:30:00+00:00
2024-12-14 17:40:00+00:00,5,-1.6,,,,,,,2024-12-14 17:40:00+00:00
2024-12-14 17:50:00+00:00,5,-1.5,,,,,,,2024-12-14 17:50:00+00:00
