referenceTime,air_temperature,wind_speed,wind_from_direction,surface_snow_thickness,sum(precipitation_amount PT1H),relative_humidity,surface_temperature,dew_point_temperature,time
2024-02-07 04:00:00+00:00,-8.1,2.9,335.0,75,0.0,92.0,-12.5,-9.4,2024-02-07 04:00:00+00:00
2024-02-07 04:10:00+00:00,,,,75,,,-13.2,,2024-02-07 04:10:00+00:00
2024-02-07 04:20:00+00:00,,,,75,,,-13.3,,2024-02-07 04:20:00+00:00
2024-02-07 04:30:00+00:00,,,,75,,,-14.8,,2024-02-07 04:30:00+00:00
2024-02-07 04:40:00+00:00,,,,74,,,-17.3,,2024-02-07 04:40:00+00:00
2024-02-07 04:50:00+00:00,,,,75,,,-16.8,,2024-02-07 04:50:00+00:00
2024-02-07 05:00:00+00:00,-10.2,0.4,236.0,74,0.0,89.0,-16.7,-11.6,2024-02-07 05:00:00+00:00
2024-02-07 05:10:00+00:00,,,,75,,,-17.0,,2024-02-07 05:10:00+00:00
2024-02-07 05:20:00+00:00,,,,75,,,-17.5,,2024-02-07 05:20:00+00:00
2024-02-07 05:30:00+00:00,,,,74,,,-17.0,,2024-02-07 05:30:00+00:00
2024-02-07 05:40:00+00:00,,,,75,,,-17.0,,2024-02-07 05:40:00+00:00
2024-02-07 05:50:00+00:00,,,,75,,,-13.8,,2024-02-07 05:50:00+00:00
2024-02-07 06:00:00+00:00,-10.2,0.7,201.0,75,0.0,87.0,-15.3,-12.1,2024-02-07 06:00:00+00:00
2024-02-07 06:10:00+00:00,,,,75,,,-16.1,,2024-02-07 06:10:00+00:00
2024-02-07 06:20:00+00:00,,,,75,,,-17.4,,2024-02-07 06:20:00+00:00
2024-02-07 06:30:00+00:00,,,,75,,,-16.9,,2024-02-07 06:30:00+00:00
2024-02-07 06:40:00+00:00,,,,74,,,-17.2,,2024-02-07 06:40:00+00:00
2024-02-07 06:50:00+00:00,,,,75,,,-17.0,,2024-02-07 06:50:00+00:00
2024-02-07 07:00:00+00:00,-9.5,1.5,170.0,74,0.0,85.0,-16.7,-11.2,2024-02-07 07:00:00+00:00
2024-02-07 07:10:00+00:00,,,,74,,,-16.9,,2024-02-07 07:10:00+00:00
2024-02-07 07:20:00+00:00,,,,74,,,-16.7,,2024-02-07 07:20:00+00:00
2024-02-07 07:30:00+00:00,,,,74,,,-15.1,,2024-02-07 07:30:00+00:00
2024-02-07 07:40:00+00:00,,,,74,,,-11.2,,2024-02-07 07:40:00+00:00
2024-02-07 07:50:00+00:00,,,,74,,,-10.3,,2024-02-07 07:50:00+00:00
2024-02-07 08:00:00+00:00,-9.1,1.1,171.0,74,0.0,86.0,-10.1,-10.7,2024-02-07 08:00:00+00:00
2024-02-07 08:10:00+00:00,,,,74,,,-9.0,,2024-02-07 08:10:00+00:00
2024-02-07 08:20:00+00:00,,,,74,,,-9.1,,2024-02-07 08:20:00+00:00
2024-02-07 08:30:00+00:00,,,,74,,,-8.3,,2024-02-07 08:30:00+00:00
2024-02-07 08:40:00+00:00,,,,74,,,-8.1,,2024-02-07 08:40:00+00:00
2024-02-07 08:50:00+00:00,,,,74,,,-7.5,,2024-02-07 08:50:00+00:00
2024-02-07 09:00:00+00:00,-7.4,1.0,143.0,75,0.0,90.0,-7.5,-8.5,2024-02-07 09:00:00+00:00
2024-02-07 09:10:00+00:00,,,,75,,,-7.4,,2024-02-07 09:10:00+00:00
2024-02-07 09:20:00+00:00,,,,76,,,-7.7,,2024-02-07 09:20:00+00:00
2024-02-07 09:30:00+00:00,,,,76,,,-9.6,,2024-02-07 09:30:00+00:00
2024-02-07 09:40:00+00:00,,,,75,,,-10.7,,2024-02-07 09:40:00+00:00
2024-02-07 09:50:00+00:00,,,,75,,,-10.6,,2024-02-07 09:50:00+00:00
2024-02-07 10:00:00+00:00,-6.3,1.9,153.0,75,0.2,81.0,-9.8,-8.9,2024-02-07 10:00:00+00:00
