timestamp,air_temperature,surface_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,dew_point_temperature,precipitation,wind_speed_gust,duration_of_precipitation
2023-11-01 00:00:00,-2.3,-7.1,-1.0,1.7,183.0,74,-7.4,0.0,4.4,0
2023-11-01 01:00:00,-2.6,-3.8,-1.0,2.4,158.0,72,-7.0,0.0,4.8,0
2023-11-01 02:00:00,-2.3,-3.3,-1.0,2.0,177.0,76,-6.3,0.0,5.6,4
2023-11-01 03:00:00,-2.8,-5.3,-1.0,1.9,185.0,78,-6.7,0.0,3.5,7
2023-11-01 04:00:00,-2.4,-3.3,-1.0,2.2,149.0,75,-6.3,0.0,3.5,21
2023-11-01 05:00:00,-2.3,-3.4,-1.0,2.1,178.0,77,-6.0,0.0,4.8,0
2023-11-01 06:00:00,-2.4,-3.5,-1.0,1.9,170.0,75,-6.3,0.0,4.5,0
2023-11-01 07:00:00,-2.1,-4.2,-1.0,4.2,134.0,74,-6.3,0.0,6.9,0
2023-11-01 08:00:00,-2.2,-4.2,-1.0,6.1,121.0,75,-6.3,0.0,9.8,0
2023-11-01 09:00:00,-2.0,-1.5,-1.0,5.8,123.0,73,-6.0,0.0,9.6,0
2023-11-01 10:00:00,-1.4,-1.0,-1.0,5.4,130.0,74,-5.3,0.0,9.9,0
2023-11-01 11:00:00,-1.1,-1.8,-1.0,6.6,117.0,75,-5.3,0.0,10.8,5
2023-11-01 12:00:00,-1.5,-1.6,-1.0,5.8,138.0,72,-5.7,0.0,12.1,31
2023-11-01 13:00:00,-1.2,-2.0,-1.0,6.7,143.0,77,-5.0,0.0,12.7,0
2023-11-01 14:00:00,-1.6,-2.6,-1.0,8.0,133.0,89,-4.1,0.5,14.3,42
2023-11-01 15:00:00,-1.7,-2.4,2.3,9.7,137.0,81,-4.4,0.2,18.0,53
2023-11-01 16:00:00,-0.8,-2.3,2.4,10.2,140.0,77,-5.0,0.3,17.2,11
2023-11-01 17:00:00,-1.1,-2.2,2.4,11.6,140.0,79,-4.7,0.0,19.6,0
2023-11-01 18:00:00,-1.2,-2.0,2.1,11.8,140.0,75,-5.0,0.3,20.4,20
2023-11-01 19:00:00,-1.2,-1.8,2.0,11.5,136.0,80,-4.1,0.0,20.2,3
2023-11-01 20:00:00,-1.0,-2.1,2.0,14.6,136.0,73,-5.3,0.3,23.1,29
2023-11-01 21:00:00,-0.8,-1.7,-1.0,14.1,142.0,78,-4.7,0.2,23.2,22
2023-11-01 22:00:00,-1.2,-2.3,-1.0,13.5,142.0,73,-5.3,0.0,23.0,7
2023-11-01 23:00:00,-0.7,-1.9,-1.0,14.2,136.0,70,-5.3,0.0,21.9,0
2023-11-02 00:00:00,-0.3,-1.7,-1.0,15.3,137.0,70,-5.3,0.0,21.3,0
2023-11-02 01:00:00,-0.2,-1.6,-1.0,14.2,136.0,69,-5.3,0.0,22.3,0
2023-11-02 02:00:00,0.4,-1.1,-1.0,9.8,148.0,71,-4.4,0.0,18.4,0
2023-11-02 03:00:00,0.6,-1.2,-1.0,9.0,177.0,71,-4.7,0.0,19.1,0
2023-11-02 04:00:00,-0.1,-1.3,-1.0,10.1,135.0,74,-4.4,0.0,21.0,0
2023-11-02 05:00:00,0.6,-0.6,-1.0,12.3,134.0,72,-3.8,0.0,18.6,0
2023-11-02 06:00:00,0.9,-0.3,-1.0,12.1,135.0,70,-3.8,0.0,18.7,0
2023-11-02 07:00:00,1.6,0.1,-1.0,11.2,134.0,71,-3.0,0.0,18.7,0
2023-11-02 08:00:00,2.1,-0.3,-1.0,9.9,136.0,70,-3.0,0.0,17.8,0
2023-11-02 09:00:00,2.6,0.3,-1.0,6.5,135.0,70,-2.5,0.0,14.9,0
2023-11-02 10:00:00,3.1,0.7,-1.0,7.4,170.0,70,-1.9,0.0,14.7,0
2023-11-02 11:00:00,3.2,0.6,-1.0,5.7,170.0,69,-2.5,0.0,12.9,0
2023-11-02 12:00:00,3.0,1.0,-1.0,5.7,151.0,69,-2.2,0.0,13.2,0
2023-11-02 13:00:00,4.1,1.3,-1.0,8.6,167.0,69,-1.2,0.0,14.8,0
2023-11-02 14:00:00,4.2,1.0,-1.0,5.2,154.0,70,-1.7,0.0,16.7,0
2023-11-02 15:00:00,4.8,1.2,-1.0,6.1,148.0,70,-1.2,0.0,15.6,0
2023-11-02 16:00:00,3.8,1.2,-1.0,8.7,149.0,69,-1.4,0.0,16.9,0
2023-11-02 17:00:00,4.1,1.2,-1.0,7.9,138.0,68,-1.9,0.0,20.5,0
2023-11-02 18:00:00,3.4,0.8,-1.0,6.0,123.0,70,-1.9,0.0,15.8,0
2023-11-02 19:00:00,3.3,0.6,-1.0,11.3,147.0,71,-2.7,0.0,22.7,0
2023-11-02 20:00:00,3.0,0.7,-1.0,9.4,152.0,69,-2.5,0.0,22.0,0
2023-11-02 21:00:00,2.8,0.4,-1.0,7.7,146.0,70,-2.5,0.0,20.2,0
2023-11-02 22:00:00,3.2,0.2,-1.0,11.1,150.0,86,-0.7,0.2,19.8,20
2023-11-02 23:00:00,2.5,0.4,-1.0,11.2,143.0,79,-0.9,0.1,22.6,49
2023-11-03 00:00:00,3.0,0.7,-1.0,11.0,143.0,74,-1.2,0.2,20.7,28
2023-11-03 01:00:00,3.3,0.9,-1.0,9.1,146.0,73,-1.2,0.0,21.8,27
2023-11-03 02:00:00,4.0,1.2,-1.0,8.2,137.0,72,-0.9,0.0,22.3,2
